role	pair	dataset	family	fold	path	sha256	source	status
baseline_C	large	obqa	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/obqa/word_C_V2.joblib	fc60e4178b83767f6d66ebecf238f39ea700c34b80e57451b7be42eebd42dd97	$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/word.joblib	COMPLETE
baseline_bundle	large	obqa	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/obqa/word_V2.joblib	5a33d4d1379cb875b57388a00d785d7ef81377c979018234dd386b36391de26b	$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/word.joblib	COMPLETE
baseline_C	large	obqa	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/obqa/semantic_C_V2.joblib	6c9268f3e25985ebe7b1e433763efb448fa99a5b0f5a27a31a8a3eff3e474e56	$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/semantic.joblib	COMPLETE
baseline_bundle	large	obqa	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/obqa/semantic_V2.joblib	c1f38646d6cbae26794790656aa33825627005597b999ff841e24ef3bb01aff0	$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/semantic.joblib	COMPLETE
baseline_C	small	obqa	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/obqa/word_C_V2.joblib	4e7446d27c0d5acf7d5fe6af70e469ccd04a934571d1b21559cef2fff82980c9	$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/word.joblib	COMPLETE
baseline_bundle	small	obqa	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/obqa/word_V2.joblib	6428f2b532313a806a106c60aa093b71074e610665692bfd8c7148e2c6831cb3	$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/word.joblib	COMPLETE
baseline_C	small	obqa	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/obqa/semantic_C_V2.joblib	5b01aec0457349eb822d21efdfa929981f085536bcf2a9edbb90e00eb136b155	$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/semantic.joblib	COMPLETE
baseline_bundle	small	obqa	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/obqa/semantic_V2.joblib	6b8b1a0c590e2a4808b41f926c42e4b66905b2d13920dadaf1aa7c765f85277d	$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/semantic.joblib	COMPLETE
baseline_C	large	arc	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/arc/word_C_V2.joblib	9fa9852ba282bdf98f7da05088a046cabada7d672f22e92fc27397ea7877d737	$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/word.joblib	COMPLETE
baseline_bundle	large	arc	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/arc/word_V2.joblib	40738033917bb4f4d2206bf88c6f0125390a268edecbfe4747f87fe039557e33	$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/word.joblib	COMPLETE
baseline_C	large	arc	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/arc/semantic_C_V2.joblib	810419fdd1d5978061cbaf5f34b650fb11c1eb9de541b62589ad78f61adc4539	$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/semantic.joblib	COMPLETE
baseline_bundle	large	arc	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/large/arc/semantic_V2.joblib	a078131989c2b4193c1bd9872ceafa014b1ca7da0b62d90b0cd5ce1d944fdcd8	$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/semantic.joblib	COMPLETE
baseline_C	small	arc	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/arc/word_C_V2.joblib	eb041e1a6dab33f96b963200ec605c42234340cdc6cea1b43bdfe2ae8bff623e	$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/word.joblib	COMPLETE
baseline_bundle	small	arc	word	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/arc/word_V2.joblib	33612cd4f65903c87ea30849eaf4265dc25b96a51d2e14def473cbf5dfcfdd48	$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/word.joblib	COMPLETE
baseline_C	small	arc	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/arc/semantic_C_V2.joblib	a32572843f561ea25af452868608174642e022bec85140e4a175b916c18fdf89	$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/semantic.joblib	COMPLETE
baseline_bundle	small	arc	semantic	NA	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/baseline/small/arc/semantic_V2.joblib	692b24c6f1a995666458d8bb34a792a72864aeb2961c3aa6f73f17c24c1b8a7f	$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/semantic.joblib	COMPLETE
FFR_T	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/FFR_T.joblib	2869ddc3ccce45c13761d3da51dd20bdb7493abf5de32ee3535e84d7a88b39c7	frozen train fold only	COMPLETE
FFR_C	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/FFR_C.joblib	bb6fa4a5917f1328da2fa9cfd6f03a7ba5e2fd1528e324dce560b21ebc5f9d42	frozen train fold only	COMPLETE
FFR_A	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/FFR_A.joblib	6666471dacc5a54a72c19ea6e6faf6e10474c62f413671ebd34bd1453106dd32	frozen train fold only	COMPLETE
IndepLR_R	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/IndepLR_R.joblib	41fccc5c663841b121cc1d46b3863f299e5cc74a8d7ce389e831a3946aa456ec	frozen train fold only	COMPLETE
IndepLR_T	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/IndepLR_T.joblib	30eb718941dd2c2487ef35e0bfe2dc347f2a7ab3e6aa6d9700caf667ce5d3a98	frozen train fold only	COMPLETE
IndepLR_C	large	obqa	word	0	$DATA_DIR/P2_V2_BASELINES_FFR_E0_20260913T000052Z/oof/obqa/word/fold0/large/IndepLR_C.joblib	152fbac9160481ceb1ebc41eee597ca14e14a175e86468510538fae08509c63b	frozen train fold only	COMPLETE
