pair,action,official_index,id,gold,official_raw,official_parsed_v2,official_pred_official_evaluator,ours_raw,ours_parsed_v2,ours_runtime_error
small,R,0,8-343,B,The correct answer is A. make more phone calls.,A,A,The correct answer is A. make more phone calls.,A,False
small,R,1,1129,A,The correct answer is A. a marsh.,A,A,The correct answer is A. a marsh.,A,False
small,R,2,880,C,The correct answer is A. lions,A,A,The correct answer is A. lions,A,False
small,R,3,7-999,C,The correct answer is A. roots may be split.,A,A,The correct answer is A. roots may be split.,A,False
small,R,4,8-464,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,5,9-794,C,The correct answer is A. oxygen,A,A,The correct answer is A. oxygen,A,False
small,R,6,9-1163,C,The correct answer is A. gas,A,A,The correct answer is A. gas,A,False
small,R,7,9-322,B,The correct answer is A. moons gravity,A,A,The correct answer is A. moons gravity,A,False
small,R,8,7-1140,D,The correct answer is A. May,A,A,The correct answer is A. May,A,False
small,R,9,7-903,B,The correct answer is A. microorganisms.,A,A,The correct answer is A. microorganisms.,A,False
small,R,10,7-511,C,The correct answer is A. a cave.,A,A,The correct answer is A. a cave.,A,False
small,R,11,9-937,B,The correct answer is A. fruit,A,A,The correct answer is A. fruit,A,False
small,R,12,8-201,C,The correct answer is D. a deer.,D,D,The correct answer is D. a deer.,D,False
small,R,13,1618,A,The correct answer is A. parched foliage.,A,A,The correct answer is A. parched foliage.,A,False
small,R,14,758,C,The correct answer is A. shortage of crops for the food supply.,A,A,The correct answer is A. shortage of crops for the food supply.,A,False
small,R,15,7-414,D,The correct answer is A. wind power will be expensive.,A,A,The correct answer is A. wind power will be expensive.,A,False
small,R,16,9-675,C,The correct answer is C. panels collecting sunlight.,C,C,The correct answer is C. panels collecting sunlight.,C,False
small,R,17,9-163,C,The correct answer is A. Lake Michigan.,A,A,The correct answer is A. Lake Michigan.,A,False
small,R,18,1032,A,The correct answer is A. weasel,A,A,The correct answer is A. weasel,A,False
small,R,19,889,B,The correct answer is A. rat,A,A,The correct answer is A. rat,A,False
small,R,20,1160,A,The correct answer is D. Phoenix.,D,D,The correct answer is D. Phoenix.,D,False
small,R,21,9-298,A,The correct answer is A. gasoline,A,A,The correct answer is A. gasoline,A,False
small,R,22,1189,A,The correct answer is A. keeping warm,A,A,The correct answer is A. keeping warm,A,False
small,R,23,8-395,B,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,24,7-238,B,The correct answer is A. make a lot of bright lights shine,A,A,The correct answer is A. make a lot of bright lights shine,A,False
small,R,25,7-372,B,The correct answer is A. its snout.,A,A,The correct answer is A. its snout.,A,False
small,R,26,8-35,D,The correct answer is D. a wheel with dry brake pads.,D,D,The correct answer is D. a wheel with dry brake pads.,D,False
small,R,27,9-271,A,The correct answer is A. the circulatory system.,A,A,The correct answer is A. the circulatory system.,A,False
small,R,28,9-409,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,29,530,B,The correct answer is A. wings,A,A,The correct answer is A. wings,A,False
small,R,30,1426,C,The correct answer is A. acid rain.,A,A,The correct answer is A. acid rain.,A,False
small,R,31,8-466,D,The correct answer is A. The surroundings they are born in.,A,A,The correct answer is A. The surroundings they are born in.,A,False
small,R,32,1577,B,The correct answer is A. eagles.,A,A,The correct answer is A. eagles.,A,False
small,R,33,8-257,A,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,34,378,B,The correct answer is A. remains of ancient ponds,A,A,The correct answer is A. remains of ancient ponds,A,False
small,R,35,8-41,A,The correct answer is A. Water animals.,A,A,The correct answer is A. Water animals.,A,False
small,R,36,9-540,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,37,266,D,The correct answer is A. nerves,A,A,The correct answer is A. nerves,A,False
small,R,38,1309,D,The correct answer is A. plants,A,A,The correct answer is A. plants,A,False
small,R,39,7-1197,A,The correct answer is A. refrigerator,A,A,The correct answer is A. refrigerator,A,False
small,R,40,7-891,D,The correct answer is A. transformed,A,A,The correct answer is A. transformed,A,False
small,R,41,1180,D,The correct answer is A. Mother,A,A,The correct answer is A. Mother,A,False
small,R,42,1204,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,43,7-52,D,The correct answer is A. eggs with shells.,A,A,The correct answer is A. eggs with shells.,A,False
small,R,44,1759,A,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,45,9-655,A,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,46,132,A,The correct answer is A. they get bigger.,A,A,The correct answer is A. they get bigger.,A,False
small,R,47,8-79,A,The correct answer is A. expand,A,A,The correct answer is A. expand,A,False
small,R,48,1835,B,The correct answer is D. tropical,D,D,The correct answer is D. tropical,D,False
small,R,49,9-149,C,The correct answer is C. born.,C,C,The correct answer is C. born.,C,False
small,R,50,695,A,The correct answer is A. a bear or person.,A,A,The correct answer is A. a bear or person.,A,False
small,R,51,8-179,D,The correct answer is A. weekly,A,A,The correct answer is A. weekly,A,False
small,R,52,7-50,A,The correct answer is A. strain the resources of an ecosystem.,A,A,The correct answer is A. strain the resources of an ecosystem.,A,False
small,R,53,508,D,The correct answer is A. high risk lifestyle,A,A,The correct answer is A. high risk lifestyle,A,False
small,R,54,1674,C,The correct answer is A. date of birth,A,A,The correct answer is A. date of birth,A,False
small,R,55,163,A,The correct answer is A. commercial plane,A,A,The correct answer is A. commercial plane,A,False
small,R,56,7-49,C,The correct answer is A. meat,A,A,The correct answer is A. meat,A,False
small,R,57,8-393,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,58,788,B,The correct answer is A. 3pm,A,A,The correct answer is A. 3pm,A,False
small,R,59,9-29,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,60,9-368,C,The correct answer is A. grow,A,A,The correct answer is A. grow,A,False
small,R,61,7-671,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,62,1272,A,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,63,648,B,The correct answer is B. Clearing for farming.,B,B,The correct answer is B. Clearing for farming.,B,False
small,R,64,9-1180,B,The correct answer is A. steak,A,A,The correct answer is A. steak,A,False
small,R,65,9-227,C,The correct answer is B. water.,B,B,The correct answer is B. water.,B,False
small,R,66,1582,A,The correct answer is A. four boxes.,A,A,The correct answer is A. four boxes.,A,False
small,R,67,8-125,A,The correct answer is C.,C,C,The correct answer is C.,C,False
small,R,68,1923,A,The correct answer is A. roots,A,A,The correct answer is A. roots,A,False
small,R,69,9-229,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,70,1702,B,The correct answer is B. kittens look like their parents.,B,B,The correct answer is B. kittens look like their parents.,B,False
small,R,71,8-260,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,72,9-491,C,The correct answer is A. melted,A,A,The correct answer is A. melted,A,False
small,R,73,75,A,The correct answer is A. inverse.,A,A,The correct answer is A. inverse.,A,False
small,R,74,1215,C,The correct answer is A. will turn into a tree.,A,A,The correct answer is A. will turn into a tree.,A,False
small,R,75,8-93,C,The correct answer is A. The color of my hair.,A,A,The correct answer is A. The color of my hair.,A,False
small,R,76,7-988,A,The correct answer is A. an uptick in the number of leaves.,A,A,The correct answer is A. an uptick in the number of leaves.,A,False
small,R,77,9-1139,C,The correct answer is A. ice cube,A,A,The correct answer is A. ice cube,A,False
small,R,78,1545,B,The correct answer is A. Oxygen,A,A,The correct answer is A. Oxygen,A,False
small,R,79,7-664,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,R,80,8-53,C,The correct answer is A/B/C/D.,INVALID,A,The correct answer is A/B/C/D.,INVALID,False
small,R,81,7-1044,A,The correct answer is D. none of these.,D,D,The correct answer is D. none of these.,D,False
small,R,82,7-1122,A,The correct answer is A. the mountain pass.,A,A,The correct answer is A. the mountain pass.,A,False
small,R,83,9-79,B,The correct answer is B. they let in less light.,B,B,The correct answer is B. they let in less light.,B,False
small,R,84,7-157,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,R,85,9-1164,B,The correct answer is A. blood,A,A,The correct answer is A. blood,A,False
small,R,86,8-63,D,The correct answer is A. to give birth to live young.,A,A,The correct answer is A. to give birth to live young.,A,False
small,R,87,8-308,D,The correct answer is A. sensing shapes by light and shadows.,A,A,The correct answer is A. sensing shapes by light and shadows.,A,False
small,R,88,326,C,The correct answer is C. A Season,C,C,The correct answer is C. A Season,C,False
small,R,89,1184,A,The correct answer is A. life sustaining elements.,A,A,The correct answer is A. life sustaining elements.,A,False
