population,pair,dataset,split,action,scheme,reason,count
full,large,arc,train,acw,D1,explicit_multiple_options,1
full,large,arc,train,acw,D1,explicit_single,1116
full,large,arc,train,acw,D1,no_explicit_answer,2
full,large,arc,train,acw,V2,explicit_single,1116
full,large,arc,train,acw,V2,multiple_options,1
full,large,arc,train,acw,V2,no_explicit_option,1
full,large,arc,train,acw,V2,refusal,1
full,large,arc,train,acw,old,legacy_parse_failure,1
full,large,arc,train,acw,old,saved_valid,1117
full,large,arc,train,acw,old,unresolved_multiple_options,1
full,large,arc,train,c2c,D1,explicit_multiple_options,3
full,large,arc,train,c2c,D1,explicit_single,1116
full,large,arc,train,c2c,V2,explicit_single,1116
full,large,arc,train,c2c,V2,multiple_options,3
full,large,arc,train,c2c,old,legacy_parse_failure,63
full,large,arc,train,c2c,old,saved_valid,1053
full,large,arc,train,c2c,old,unresolved_multiple_options,3
full,large,arc,train,receiver_only,D1,explicit_single,1119
full,large,arc,train,receiver_only,V2,explicit_single,1119
full,large,arc,train,receiver_only,old,saved_valid,1119
full,large,arc,train,text,D1,explicit_single,1119
full,large,arc,train,text,V2,explicit_single,1119
full,large,arc,train,text,old,saved_valid,1119
full,large,arc,validation,acw,D1,explicit_single,299
full,large,arc,validation,acw,V2,explicit_single,299
full,large,arc,validation,acw,old,saved_valid,299
full,large,arc,validation,c2c,D1,explicit_single,299
full,large,arc,validation,c2c,V2,explicit_single,299
full,large,arc,validation,c2c,old,legacy_parse_failure,12
full,large,arc,validation,c2c,old,saved_valid,287
full,large,arc,validation,receiver_only,D1,explicit_single,299
full,large,arc,validation,receiver_only,V2,explicit_single,299
full,large,arc,validation,receiver_only,old,saved_valid,299
full,large,arc,validation,text,D1,explicit_single,299
full,large,arc,validation,text,V2,explicit_single,299
full,large,arc,validation,text,old,saved_valid,299
full,large,obqa,dev,acw,D1,empty,2
full,large,obqa,dev,acw,D1,explicit_multiple_options,1
full,large,obqa,dev,acw,D1,explicit_single,739
full,large,obqa,dev,acw,V2,empty,2
full,large,obqa,dev,acw,V2,explicit_single,739
full,large,obqa,dev,acw,V2,multiple_options,1
full,large,obqa,dev,acw,old,legacy_parse_failure,2
full,large,obqa,dev,acw,old,saved_valid,739
full,large,obqa,dev,acw,old,unresolved_multiple_options,1
full,large,obqa,dev,c2c,D1,explicit_single,742
full,large,obqa,dev,c2c,V2,explicit_single,742
full,large,obqa,dev,c2c,old,legacy_parse_failure,11
full,large,obqa,dev,c2c,old,saved_valid,731
full,large,obqa,dev,receiver_only,D1,explicit_single,742
full,large,obqa,dev,receiver_only,V2,explicit_single,742
full,large,obqa,dev,receiver_only,old,saved_valid,742
full,large,obqa,dev,text,D1,explicit_single,742
full,large,obqa,dev,text,V2,explicit_single,742
full,large,obqa,dev,text,old,saved_valid,742
full,large,obqa,train,acw,D1,empty,3
full,large,obqa,train,acw,D1,explicit_multiple_options,17
full,large,obqa,train,acw,D1,explicit_single,3445
full,large,obqa,train,acw,D1,no_explicit_answer,1
full,large,obqa,train,acw,V2,empty,3
full,large,obqa,train,acw,V2,explicit_single,3445
full,large,obqa,train,acw,V2,multiple_options,17
full,large,obqa,train,acw,V2,refusal,1
full,large,obqa,train,acw,old,legacy_parse_failure,4
full,large,obqa,train,acw,old,saved_valid,3445
full,large,obqa,train,acw,old,unresolved_multiple_options,17
full,large,obqa,train,c2c,D1,explicit_multiple_options,7
full,large,obqa,train,c2c,D1,explicit_single,3459
full,large,obqa,train,c2c,V2,explicit_single,3459
full,large,obqa,train,c2c,V2,multiple_options,7
full,large,obqa,train,c2c,old,legacy_parse_failure,55
full,large,obqa,train,c2c,old,saved_valid,3404
full,large,obqa,train,c2c,old,unresolved_multiple_options,7
full,large,obqa,train,receiver_only,D1,explicit_multiple_options,4
full,large,obqa,train,receiver_only,D1,explicit_single,3462
full,large,obqa,train,receiver_only,V2,explicit_single,3462
full,large,obqa,train,receiver_only,V2,multiple_options,4
full,large,obqa,train,receiver_only,old,saved_valid,3462
full,large,obqa,train,receiver_only,old,unresolved_multiple_options,4
full,large,obqa,train,text,D1,explicit_multiple_options,1
full,large,obqa,train,text,D1,explicit_single,3465
full,large,obqa,train,text,V2,explicit_single,3465
full,large,obqa,train,text,V2,multiple_options,1
full,large,obqa,train,text,old,saved_valid,3465
full,large,obqa,train,text,old,unresolved_multiple_options,1
full,small,arc,train,acw,D1,empty,30
full,small,arc,train,acw,D1,explicit_multiple_options,176
