population,pair,dataset,split,n,training_labels,refitted_V2,evaluation_role,timing_source,primary,reference,bootstrap_n,bootstrap_seed,conditional_on,old_accuracy_delta_pp,old_ci_low_pp,old_ci_high_pp,D1_accuracy_delta_pp,D1_ci_low_pp,D1_ci_high_pp,V2_accuracy_delta_pp,V2_ci_low_pp,V2_ci_high_pp,original_latency_delta_ms,latency_ci_low_ms,latency_ci_high_ms
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,word_lambda0.01_actions3,20000,0,saved old-trained policies and original measurement; exposed development,-0.2695417789757413,-0.6738544474393532,0.0,-0.2695417789757413,-0.6738544474393532,0.0,-0.2695417789757413,-0.6738544474393532,0.0,,,
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,R,20000,0,saved old-trained policies and original measurement; exposed development,3.234501347708895,1.482479784366577,4.986522911051213,3.234501347708895,1.482479784366577,4.986522911051213,3.234501347708895,1.482479784366577,4.986522911051213,,,
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,T,20000,0,saved old-trained policies and original measurement; exposed development,-0.5390835579514826,-1.7520215633423182,0.6738544474393532,-0.5390835579514826,-1.7520215633423182,0.6738544474393532,-0.5390835579514826,-1.7520215633423182,0.6738544474393532,,,
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,C,20000,0,saved old-trained policies and original measurement; exposed development,7.277628032345014,4.8517520215633425,9.703504043126685,5.795148247978436,3.5040431266846364,8.086253369272237,5.795148247978436,3.5040431266846364,8.086253369272237,,,
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,A,20000,0,saved old-trained policies and original measurement; exposed development,3.234501347708895,1.6172506738544474,4.8517520215633425,3.234501347708895,1.6172506738544474,4.8517520215633425,3.234501347708895,1.6172506738544474,4.8517520215633425,,,
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,train_frozen_mixture,20000,0,saved old-trained policies and original measurement; exposed development,1.1482151376453835,0.13357114078981686,2.1583969344553893,1.1482151376453835,0.13357114078981686,2.1583969344553893,1.1482151376453835,0.13357114078981686,2.1583969344553893,,,
panel,large,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,word_lambda0.01_actions3,20000,0,saved old-trained policies and original measurement; exposed development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.338027117187498,-18.53273278007811,3.3058022826171833
panel,large,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,R,20000,0,saved old-trained policies and original measurement; exposed development,5.46875,1.5625,9.375,5.46875,1.5625,9.375,5.46875,1.5625,9.375,522.407189828125,459.4463254177735,583.2866550722656
panel,large,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,T,20000,0,saved old-trained policies and original measurement; exposed development,-1.5625,-4.6875,1.5625,-1.5625,-4.6875,1.5625,-1.5625,-4.6875,1.5625,-216.96868489843752,-278.4143981947266,-159.02701971328108
panel,large,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,C,20000,0,saved old-trained policies and original measurement; exposed development,10.15625,5.46875,15.625,7.8125,3.125,12.5,7.8125,3.125,12.5,429.904259453125,368.4352349669923,489.29300362382816
panel,large,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,A,20000,0,saved old-trained policies and original measurement; exposed development,4.6875,1.5625,8.59375,4.6875,1.5625,8.59375,4.6875,1.5625,8.59375,490.2262712421875,427.28227016113254,551.3128864705074
panel,large,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,train_frozen_mixture,20000,0,saved old-trained policies and original measurement; exposed development,1.581412022655098,-0.8449408611993247,4.109279813019041,1.581412022655098,-0.8449408611993247,4.109279813019041,1.581412022655098,-0.8449408611993247,4.109279813019041,113.63152158177151,53.04311903481692,171.60372234296395
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,word_lambda0.01_actions3,20000,0,saved old-trained policies and original measurement; exposed development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,R,20000,0,saved old-trained policies and original measurement; exposed development,0.33444816053511706,0.0,1.0033444816053512,0.33444816053511706,0.0,1.0033444816053512,0.33444816053511706,0.0,1.0033444816053512,,,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,T,20000,0,saved old-trained policies and original measurement; exposed development,-1.6722408026755853,-4.013377926421405,0.6688963210702341,-1.6722408026755853,-4.013377926421405,0.6688963210702341,-1.6722408026755853,-4.013377926421405,0.6688963210702341,,,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,C,20000,0,saved old-trained policies and original measurement; exposed development,4.682274247491638,1.6722408026755853,7.6923076923076925,1.0033444816053512,-1.0033444816053512,3.3444816053511706,1.0033444816053512,-1.0033444816053512,3.3444816053511706,,,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,A,20000,0,saved old-trained policies and original measurement; exposed development,0.0,-1.0033444816053512,1.0033444816053512,0.0,-1.0033444816053512,1.0033444816053512,0.0,-1.0033444816053512,1.0033444816053512,,,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,train_frozen_mixture,20000,0,saved old-trained policies and original measurement; exposed development,0.2221131766694637,-0.18722497310942224,0.9284544923615823,0.2221131766694637,-0.18722497310942224,0.9284544923615823,0.2221131766694637,-0.18722497310942224,0.9284544923615823,,,
panel,large,arc,validation,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,word_lambda0.01_actions3,20000,0,saved old-trained policies and original measurement; exposed development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7898004687500015,-0.062467531445313515,2.1179142119140635
panel,large,arc,validation,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,R,20000,0,saved old-trained policies and original measurement; exposed development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9421310546875,14.77899004121094,70.14121361835936
panel,large,arc,validation,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,T,20000,0,saved old-trained policies and original measurement; exposed development,-1.5625,-5.46875,2.34375,-1.5625,-5.46875,2.34375,-1.5625,-5.46875,2.34375,-754.1013521796876,-796.4947478207032,-709.6687740007818
panel,large,arc,validation,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,C,20000,0,saved old-trained policies and original measurement; exposed development,4.6875,-0.78125,10.15625,0.78125,-3.125,4.6875,0.78125,-3.125,4.6875,-116.0345688828125,-153.03384746269532,-77.04750870566407
panel,large,arc,validation,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,A,20000,0,saved old-trained policies and original measurement; exposed development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.503243984374993,-15.167529275000005,39.34706705546874
panel,large,arc,validation,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,train_frozen_mixture,20000,0,saved old-trained policies and original measurement; exposed development,-0.08746916712455821,-0.30614208493595374,0.13120375068683732,-0.08746916712455821,-0.30614208493595374,0.13120375068683732,-0.08746916712455821,-0.30614208493595374,0.13120375068683732,-4.50863511439658,-29.86845460375948,25.691352089410817
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,word_lambda0.01_actions3,20000,0,saved old-trained policies and original measurement; exposed development,0.13477088948787064,-0.2695417789757413,0.6738544474393532,0.13477088948787064,-0.2695417789757413,0.6738544474393532,0.13477088948787064,-0.2695417789757413,0.6738544474393532,,,
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,R,20000,0,saved old-trained policies and original measurement; exposed development,10.242587601078167,6.46900269541779,14.016172506738545,10.377358490566039,6.60377358490566,14.150943396226415,10.377358490566039,6.60377358490566,14.150943396226415,,,
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,T,20000,0,saved old-trained policies and original measurement; exposed development,2.0215633423180592,-1.6172506738544474,5.660377358490567,2.15633423180593,-1.482479784366577,5.795148247978436,2.15633423180593,-1.482479784366577,5.795148247978436,,,
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,C,20000,0,saved old-trained policies and original measurement; exposed development,-0.5390835579514826,-2.15633423180593,1.078167115902965,-0.5390835579514826,-2.15633423180593,1.078167115902965,-0.5390835579514826,-2.15633423180593,1.078167115902965,,,
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,A,20000,0,saved old-trained policies and original measurement; exposed development,10.377358490566039,6.60377358490566,14.016172506738545,10.512129380053908,6.738544474393531,14.150943396226415,10.512129380053908,6.738544474393531,14.150943396226415,,,
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word_lambda0.01_actions4,train_frozen_mixture,20000,0,saved old-trained policies and original measurement; exposed development,0.1412365794181952,-1.387492643217425,1.6784202046437737,0.177042902437652,-1.3561632974686626,1.7122378150035995,0.177042902437652,-1.3561632974686626,1.7122378150035995,,,
panel,small,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,word_lambda0.01_actions3,20000,0,saved old-trained policies and original measurement; exposed development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.529467124999992,-10.535868373046867,0.18726371523437776
panel,small,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,R,20000,0,saved old-trained policies and original measurement; exposed development,7.8125,-0.78125,16.40625,7.8125,-0.78125,16.40625,7.8125,-0.78125,16.40625,162.06526374999999,112.69775022910162,220.3093450585936
panel,small,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,T,20000,0,saved old-trained policies and original measurement; exposed development,0.0,-9.375,8.59375,0.0,-9.375,8.59375,0.0,-9.375,8.59375,-442.122572484375,-563.004166481836,-342.25540887656274
panel,small,obqa,dev,128,old_scoring,False,previously_exposed_development,original_P2_10_same_job,word_lambda0.01_actions4,C,20000,0,saved old-trained policies and original measurement; exposed development,0.0,-5.46875,5.46875,0.0,-5.46875,5.46875,0.0,-5.46875,5.46875,95.4208446484375,49.937961284375014,149.71592464140622
