asset,component,pair,dataset,family,old_correct,D1_correct,V2_correct,changed_train_y,decision,refit_this_stage
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/word.joblib,R_correctness_head,large,obqa,word,2830,2830,2830,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/semantic.joblib,R_correctness_head,large,obqa,semantic,2830,2830,2830,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/word.joblib,T_correctness_head,large,obqa,word,2978,2978,2978,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/semantic.joblib,T_correctness_head,large,obqa,semantic,2978,2978,2978,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/word.joblib,C_correctness_head,large,obqa,word,2716,2760,2760,44,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/semantic.joblib,C_correctness_head,large,obqa,semantic,2716,2760,2760,44,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/word.joblib,A_correctness_head,large,obqa,word,2832,2832,2832,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/obqa/models/semantic.joblib,A_correctness_head,large,obqa,semantic,2832,2832,2832,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/word.joblib,R_correctness_head,large,arc,word,1021,1021,1021,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/semantic.joblib,R_correctness_head,large,arc,semantic,1021,1021,1021,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/word.joblib,T_correctness_head,large,arc,word,1036,1036,1036,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/semantic.joblib,T_correctness_head,large,arc,semantic,1036,1036,1036,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/word.joblib,C_correctness_head,large,arc,word,957,1013,1013,56,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/semantic.joblib,C_correctness_head,large,arc,semantic,957,1013,1013,56,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/word.joblib,A_correctness_head,large,arc,word,1018,1018,1018,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/large/arc/models/semantic.joblib,A_correctness_head,large,arc,semantic,1018,1018,1018,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/word.joblib,R_correctness_head,small,obqa,word,1365,1365,1365,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/semantic.joblib,R_correctness_head,small,obqa,semantic,1365,1365,1365,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/word.joblib,T_correctness_head,small,obqa,word,1612,1612,1612,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/semantic.joblib,T_correctness_head,small,obqa,semantic,1612,1612,1612,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/word.joblib,C_correctness_head,small,obqa,word,1802,1803,1804,2,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/semantic.joblib,C_correctness_head,small,obqa,semantic,1802,1803,1804,2,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/word.joblib,A_correctness_head,small,obqa,word,1345,1345,1345,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/obqa/models/semantic.joblib,A_correctness_head,small,obqa,semantic,1345,1345,1345,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/word.joblib,R_correctness_head,small,arc,word,424,424,424,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/semantic.joblib,R_correctness_head,small,arc,semantic,424,424,424,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/word.joblib,T_correctness_head,small,arc,word,530,530,530,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/semantic.joblib,T_correctness_head,small,arc,semantic,530,530,530,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/word.joblib,C_correctness_head,small,arc,word,667,669,671,4,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/semantic.joblib,C_correctness_head,small,arc,semantic,667,669,671,4,needs_refit_before_claiming_V2_trained,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/word.joblib,A_correctness_head,small,arc,word,412,412,412,0,training_target_unchanged_reusable,False
$DATA_DIR/P2_10_20260911T122423Z/results/small/arc/models/semantic.joblib,A_correctness_head,small,arc,semantic,412,412,412,0,training_target_unchanged_reusable,False
