field_value,count
"""receiver"": ""qwen3_8b""",40326
"""receiver"": ""qwen3_1_7b""",40253
"""receiver"": ""qwen3_0_6b""",34591
"""receiver"": ""olmo2_7b""",17292
"""receiver"": ""llama31_8b""",7619
"""receiver"": ""Qwen/Qwen3-0.6B""",5674
"""helper"": ""meta-llama/Llama-3.2-1B-Instruct""",5642
"""receiver"": ""qwen3""",1708
"""receiver"": ""llama""",1690
"""repo_id"": ""Qwen/Qwen3-8B""",116
"""repo_id"": ""Qwen/Qwen2.5-7B-Instruct""",105
"""repo_id"": ""nics-efc/C2C_Fuser""",103
"""helper"": ""cuda:0""",42
"""helper"": ""Qwen/Qwen2.5-0.5B-Instruct""",32
"""repo"": ""Qwen/Qwen3-8B""",23
"""repo_id"": ""Qwen/Qwen2.5-1.5B-Instruct""",22
"""repo_id"": ""Qwen/Qwen3-1.7B""",21
"""repo"": ""Qwen/Qwen3-1.7B""",19
"""helper"": ""$DATA_DIR/P2_6_20260910T164138Z/assets/Qwen2.5-7B-Instruct""",18
"""repo_id"": ""TIGER-Lab/MMLU-Pro""",15
"""repo"": ""meta-llama/Llama-3.1-8B-Instruct""",14
"""repo"": ""Qwen/Qwen3-0.6B""",13
"""model"": ""Rosetta""",10
"""repo"": ""allenai/OLMo-2-1124-7B-Instruct""",9
"""repo"": ""Qwen/Qwen2.5-1.5B-Instruct""",9
"""repo"": ""nics-efc/C2C_Fuser""",9
"""repo_id"": ""Qwen/Qwen2.5-0.5B-Instruct""",8
"""repo_id"": ""Qwen/Qwen3-0.6B""",7
"""repo"": ""meta-llama/Llama-3.2-1B-Instruct""",5
"""receiver"": ""Qwen3-8B""",4
"""receiver"": ""Qwen3-1.7B""",3
"""model"": ""title 1.0in + prose/80 + captions/95 + float bodies + 0.35in/section + 0.30in/subsection + 0.30in/float; 9in/page""",3
"""repo"": ""Qwen/Qwen2.5-0.5B-Instruct""",2
"""repo"": ""rajpurkar/squad""",2
"""repo"": ""mrqa-workshop/mrqa""",2
"""repo"": ""mandarjoshi/trivia_qa""",2
"""repo"": ""google-research-datasets/nq_open""",2
"""receiver"": ""large""",1
"""receiver"": ""medium""",1
"""model"": ""$DATA_DIR/c2c_reproduction_assets/models/Qwen--Qwen2.5-0.5B-Instruct""",1
"""model"": ""$DATA_DIR/c2c_reproduction_assets/models/Qwen--Qwen3-0.6B""",1
"""repo_id"": ""meta-llama/Llama-3.1-8B-Instruct""",1
"""helper"": ""<private_path>/helper""",1
"""receiver"": ""<private_path>/receiver""",1
"""repo"": ""mistralai/Mistral-7B-Instruct-v0.3""",1
