setting,output,transition,output_pattern,official_branch,count,V2_to_official,example_1,example_2,math_substrings,label
X1-Llama/ARC/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,50,INVALID->A x50,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/ARC/C2C,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,24,INVALID->A x24,"The correct answer is A/B/C/D: ""The correct answer is A/B/C/D: ""The correct answ","The correct answer is A/B/C/D: 
user
The correct answer is A/B/C/D: 
user
The co",/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/ARC/C2C,reference,INVALID->label,repeated_declaration_same_letter,answer_phrase_first_ABCD_char,1,INVALID->C x1,The correct answer is C. The correct answer is C. The correct answer is C. The c,,,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/ARC/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,50,INVALID->A x50,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/ARC/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,26,INVALID->A x26,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/OBQA/C2C,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,93,INVALID->A x93,"The correct answer is A/B/C/D: ""The correct answer is A/B/C/D""","The correct answer is A/B/C/D: ""The correct answer is A/B/C/D: ""The correct answ",/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/OBQA/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,61,INVALID->A x61,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/OBQA/C2C,reference,INVALID->label,repeated_declaration_same_letter,answer_phrase_first_ABCD_char,9,INVALID->B x8 INVALID->D x1,The correct answer is B. The correct answer is B. The correct answer is B. The c,The correct answer is B. The correct answer is B. The correct answer is B. The c,,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/OBQA/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,61,INVALID->A x61,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X1-Llama/OBQA/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,37,INVALID->A x37,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X2-OLMo/ARC/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,36,INVALID->A x3 INVALID->B x10 INVALID->C x23,The correct answer is C/D.,The correct answer is C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X2-OLMo/ARC/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,34,INVALID->A x2 INVALID->B x2 INVALID->C x30,The correct answer is B/C/D.,The correct answer is C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X2-OLMo/OBQA/Text,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,80,INVALID->A x2 INVALID->B x4 INVALID->C x74,The correct answer is C/D.,The correct answer is C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
X2-OLMo/OBQA/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,54,INVALID->A x5 INVALID->B x10 INVALID->C x39,The correct answer is C/D.,The correct answer is C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/ARC/C2C,reference,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,23,A->INVALID x3 B->INVALID x7 C->INVALID x5 D->INVALID x8,D. digested into simpler substances,D. formation of a new substance,tan,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/ARC/C2C,reference,label->other label,leading_label_then_option_text,standalone_pattern_1_last_match,2,A->C x1 D->C x1,A. 0°C,D. 120°C,,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA/C2C,reference,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,20,A->INVALID x2 B->INVALID x5 C->INVALID x1 D->INVALID x12,A. distant,D. using antibacterial soap,tan,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA/C2C,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,2,INVALID->A x2,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,2,INVALID->A x2,The correct answer is A/B/C/D,The correct answer is A/B/C/D,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
large/OBQA/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,2,INVALID->A x2,The correct answer is A/B/C/D,The correct answer is A/B/C/D,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC/C2C,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,14,INVALID->A x14,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC/C2C,R,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,3,A->INVALID x1 C->INVALID x1 D->INVALID x1,A. once-living organisms,D. It is released into the ecosystem as heat.,-,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC/C2C,reference,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,3,C->INVALID x1 D->INVALID x2,D. It is released into the ecosystem as heat.,D. The local ecosystem may be disrupted.,cos,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,3,INVALID->A x3,The correct answer is A/B/C/D,The correct answer is A/B/C/D,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC/Text,R,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,3,A->INVALID x1 C->INVALID x1 D->INVALID x1,A. once-living organisms,D. It is released into the ecosystem as heat.,-,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/ARC/Text,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,3,INVALID->A x3,The correct answer is A/B/C/D,The correct answer is A/B/C/D,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,reference,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,40,INVALID->A x40,The correct answer is A/B/C/D.,The correct answer is A/B/C/D.,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,R,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,13,INVALID->A x12 INVALID->B x1,The correct answer is A/B/C/D,The correct answer is A/B/C/D,/,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,R,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,2,A->INVALID x2,A. non-alive things,A. distance between cities,-,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/C2C,reference,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,1,C->INVALID x1,C. because the more it is used the more it costs,,cos,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
