setting,benchmark,N_cal,reference,official_applicable,raw_source,label,R_label_diffs,ref_label_diffs,total_label_diffs,d_label_diffs,d_diffs_in_X,d_diffs_in_clean,orig_q,official_n_at_orig_q,official_k_at_orig_q,official_largest_accepted_q
small/OBQA/Text,obqa,1366,Text,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,78,139,66,66,0,0.0,,,0.0
small/OBQA/C2C,obqa,1366,C2C,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,2,63,15,15,0,0.0,,,0.0
small/ARC/Text,arc,448,Text,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,51,101,38,38,0,0.0,,,0.0
small/ARC/C2C,arc,448,C2C,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,3,53,5,5,0,0.0,,,0.0
medium/OBQA/Text,obqa,1366,Text,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_cal.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,15,1,16,5,0,5,0.0,,,0.0
medium/OBQA/C2C,obqa,1366,C2C,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_cal.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,15,41,56,22,4,18,0.55,739,18,0.55
medium/ARC/Text,arc,448,Text,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_cal.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,6,0,6,5,2,3,0.0,,,0.0
medium/ARC/C2C,arc,448,C2C,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_cal.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,6,17,23,9,5,4,0.6,290,3,0.6
large/OBQA/Text,obqa,1366,Text,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,2,0,2,1,1,0,0.8,1064,18,0.8
large/OBQA/C2C,obqa,1366,C2C,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,2,22,24,21,21,0,0.8,1064,39,0.7
large/ARC/Text,arc,448,Text,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,0,0,0,0,0,0,0.95,422,4,0.95
large/ARC/C2C,arc,448,C2C,True,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,0,25,25,21,21,0,0.9,404,27,0.0
large/MMLU-Pro/Text,mmlu_pro,6000,Text,False,"$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/shards/{1,2}/actions/cal.jsonl",POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,n/a (A-D only),n/a (A-D only),,n/a (A-D only),,,,,,
large/MMLU-Pro/C2C,mmlu_pro,6000,C2C,False,"$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/shards/{1,2}/actions/cal.jsonl",POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,n/a (A-D only),n/a (A-D only),,n/a (A-D only),,,,,,
X1-Llama/OBQA/Text,obqa,1366,Text,True,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/text_chain_*.jsonl for Text,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,37,98,44,37,7,0.0,,,0.0
X1-Llama/OBQA/C2C,obqa,1366,C2C,True,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/c2c_chain_*.jsonl for C2C,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,102,163,97,19,78,0.0,,,0.0
X1-Llama/ARC/Text,arc,448,Text,True,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/text_chain_*.jsonl for Text,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,26,76,31,26,5,0.0,,,0.0
X1-Llama/ARC/C2C,arc,448,C2C,True,small-pair raw for R; $DATA_DIR/P2_R1_XFAM_20260919T095058Z/x1/results/runs/c2c_chain_*.jsonl for C2C,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,25,75,19,4,15,0.0,,,0.0
X2-OLMo/OBQA/Text,obqa,1366,Text,True,$DATA_DIR/P2_R1_XFAM_20260919T095058Z/results/runs/chain_*.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,54,80,134,53,11,42,0.0,,,0.0
X2-OLMo/ARC/Text,arc,448,Text,True,$DATA_DIR/P2_R1_XFAM_20260919T095058Z/results/runs/chain_*.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,36,34,70,34,13,21,0.0,,,0.0
X2-OLMo/MMLU-Pro/Text,mmlu_pro,6000,Text,False,$DATA_DIR/P2_R1_XFAM_20260919T095058Z/results/runs/chain_*.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,n/a (A-D only),n/a (A-D only),,n/a (A-D only),,,,,,
