pair,task,reference,status_before_freeze,evidence,superset_exposure,label
small,OBQA,Text,NONE FOUND,"OBQA cal split did not exist before 2026-09-14T04:41:35.950162+00:00; cal-split R-vs-Text d first written 2026-09-14T17:12:51Z ($DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/inputs/small_obqa_cal_machine_d.jsonl), after BOUNDARIES protocol freeze 2026-09-14T16:52:46.105623+00:00","SUPERSET only (full-train stats containing the 1366 later-cal questions): SCORE_SENSITIVITY 2026-09-12T06:07Z, SCORING_V2 2026-09-12T19:23Z, V2_BASELINES_FFR_E0 2026-09-13T04:35Z, E1_DIRECTION 2026-09-13T06:51Z; parser case review touched 186 later-cal questions (record level, incl. gold)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,NONE FOUND,"OBQA cal split did not exist before 2026-09-14T04:41:35.950162+00:00; cal-split R-vs-C2C d first written 2026-09-14T17:12:51Z ($DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/inputs/small_obqa_cal_machine_d.jsonl), after BOUNDARIES protocol freeze 2026-09-14T16:52:46.105623+00:00","SUPERSET only (full-train stats containing the 1366 later-cal questions): SCORE_SENSITIVITY 2026-09-12T06:07Z, SCORING_V2 2026-09-12T19:23Z, V2_BASELINES_FFR_E0 2026-09-13T04:35Z, E1_DIRECTION 2026-09-13T06:51Z; parser case review touched 186 later-cal questions (record level, incl. gold)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,NONE FOUND,"ARC cal split did not exist before 2026-09-14T16:52:46.089022+00:00; cal-split R-vs-Text d first written 2026-09-14T17:13:37Z ($DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/inputs/small_arc_cal_machine_d.jsonl), after BOUNDARIES protocol freeze 2026-09-14T16:52:46.105623+00:00","SUPERSET only (full-train stats containing the 448 later-cal questions): SCORE_SENSITIVITY 2026-09-12T06:07Z, SCORING_V2 2026-09-12T19:23Z, V2_BASELINES_FFR_E0 2026-09-13T04:35Z, E1_DIRECTION 2026-09-13T06:51Z; parser case review touched 113 later-cal questions (record level, incl. gold)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,NONE FOUND,"ARC cal split did not exist before 2026-09-14T16:52:46.089022+00:00; cal-split R-vs-C2C d first written 2026-09-14T17:13:37Z ($DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/inputs/small_arc_cal_machine_d.jsonl), after BOUNDARIES protocol freeze 2026-09-14T16:52:46.105623+00:00","SUPERSET only (full-train stats containing the 448 later-cal questions): SCORE_SENSITIVITY 2026-09-12T06:07Z, SCORING_V2 2026-09-12T19:23Z, V2_BASELINES_FFR_E0 2026-09-13T04:35Z, E1_DIRECTION 2026-09-13T06:51Z; parser case review touched 113 later-cal questions (record level, incl. gold)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,NONE FOUND,medium protocol frozen 2026-09-15T14:54:02.955834+00:00; medium cal answers produced 2026-09-15 (execution_retry1/actions/*_cal.jsonl utc) - all after 2026-09-14T04:41:36Z,none (no medium-pair outputs existed before freeze),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,NONE FOUND,medium protocol frozen 2026-09-15T14:54:02.955834+00:00; medium cal answers produced 2026-09-15 (execution_retry1/actions/*_cal.jsonl utc) - all after 2026-09-14T04:41:36Z,none (no medium-pair outputs existed before freeze),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,NONE FOUND,medium protocol frozen 2026-09-15T14:54:02.955834+00:00; medium cal answers produced 2026-09-15 (execution_retry1/actions/*_cal.jsonl utc) - all after 2026-09-14T04:41:36Z,none (no medium-pair outputs existed before freeze),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,NONE FOUND,medium protocol frozen 2026-09-15T14:54:02.955834+00:00; medium cal answers produced 2026-09-15 (execution_retry1/actions/*_cal.jsonl utc) - all after 2026-09-14T04:41:36Z,none (no medium-pair outputs existed before freeze),POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,NONE FOUND,"OBQA cal split did not exist before 2026-09-14T04:41:35.950162+00:00; cal-split R-vs-C2C d first written 2026-09-14T17:06:29Z ($DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/inputs/large_obqa_cal_machine_d.jsonl), after BOUNDARIES protocol freeze 2026-09-14T16:52:46.105623+00:00; between 04:41 and 16:52 only large/OBQA/Text (R/Text) was computed on this cal split (RISK_CALIBRATION_BINARY, GOLD_BUDGET, ZERO_GOLD_CONTROLS)","SUPERSET only (full-train stats containing the 1366 later-cal questions): SCORE_SENSITIVITY 2026-09-12T06:07Z, SCORING_V2 2026-09-12T19:23Z, V2_BASELINES_FFR_E0 2026-09-13T04:35Z, E1_DIRECTION 2026-09-13T06:51Z, E1_E2E_OBQA 2026-09-13T17:46-20:01Z; parser case review touched 30 later-cal questions (record level, incl. gold)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,NONE FOUND,"ARC cal split did not exist before 2026-09-14T16:52:46.089022+00:00; cal-split R-vs-Text d first written 2026-09-14T17:10:05Z ($DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/inputs/large_arc_cal_machine_d.jsonl), after BOUNDARIES protocol freeze 2026-09-14T16:52:46.105623+00:00","SUPERSET only (full-train stats containing the 448 later-cal questions): SCORE_SENSITIVITY 2026-09-12T06:07Z, SCORING_V2 2026-09-12T19:23Z, V2_BASELINES_FFR_E0 2026-09-13T04:35Z, E1_DIRECTION 2026-09-13T06:51Z; parser case review touched 26 later-cal questions (record level, incl. gold)",POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
