reference,id,panel_ordinal,route,expected_source,expected_answer,policy_answer,raw_answer_match,canonical_parsed_match,full_parsed_record_match,generated_token_ids_match,helper_message_match,fixed_vs_Stage1_raw_match,fixed_vs_Stage1_parsed_match,online_probe_equals_Stage1,online_probe_input_hash_matches_Stage1,online_route_matches_Stage1,differences_retained_without_retry,required_output_identity_pass
C2C,test:3261,0,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3202,1,R,Stage1 native R,E,E,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:2846,2,C,same-round fixed reference,G,G,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3039,3,C,same-round fixed reference,D,D,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3502,4,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3187,5,R,Stage1 native R,A,A,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3406,6,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3015,7,C,same-round fixed reference,E,E,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:2823,8,R,Stage1 native R,J,J,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:2937,9,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3232,10,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3262,11,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3274,12,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:2979,13,R,Stage1 native R,I,I,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3304,14,R,Stage1 native R,F,F,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3181,15,R,Stage1 native R,C,C,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3171,16,R,Stage1 native R,B,B,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3449,17,R,Stage1 native R,H,H,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:3322,18,R,Stage1 native R,F,F,True,True,True,True,,True,True,True,True,True,True,True
C2C,test:2973,19,R,Stage1 native R,B,B,True,True,True,True,,True,True,True,True,True,True,True
