population,pair,dataset,split,n,comparison,action_records,answer_changed,validity_changed,correctness_improved,correctness_harmed
full,large,obqa,train,3466,old_to_V2,13864,55,55,44,0
full,large,obqa,train,3466,D1_to_V2,13864,0,0,0,0
panel,large,obqa,train,256,old_to_V2,1024,3,3,3,0
panel,large,obqa,train,256,D1_to_V2,1024,0,0,0,0
full,large,obqa,dev,742,old_to_V2,2968,11,11,11,0
full,large,obqa,dev,742,D1_to_V2,2968,0,0,0,0
panel,large,obqa,dev,128,old_to_V2,512,3,3,3,0
panel,large,obqa,dev,128,D1_to_V2,512,0,0,0,0
full,large,arc,train,1119,old_to_V2,4476,67,64,56,0
full,large,arc,train,1119,D1_to_V2,4476,0,0,0,0
panel,large,arc,train,256,old_to_V2,1024,15,15,12,0
panel,large,arc,train,256,D1_to_V2,1024,0,0,0,0
full,large,arc,validation,299,old_to_V2,1196,12,12,11,0
full,large,arc,validation,299,D1_to_V2,1196,0,0,0,0
panel,large,arc,validation,128,old_to_V2,512,6,6,5,0
panel,large,arc,validation,128,D1_to_V2,512,0,0,0,0
full,small,obqa,train,3466,old_to_V2,13864,4,4,2,0
full,small,obqa,train,3466,D1_to_V2,13864,2,2,1,0
panel,small,obqa,train,256,old_to_V2,1024,0,0,0,0
panel,small,obqa,train,256,D1_to_V2,1024,0,0,0,0
full,small,obqa,dev,742,old_to_V2,2968,1,1,1,0
full,small,obqa,dev,742,D1_to_V2,2968,0,0,0,0
panel,small,obqa,dev,128,old_to_V2,512,0,0,0,0
panel,small,obqa,dev,128,D1_to_V2,512,0,0,0,0
full,small,arc,train,1119,old_to_V2,4476,7,7,4,0
full,small,arc,train,1119,D1_to_V2,4476,2,2,2,0
panel,small,arc,train,256,old_to_V2,1024,2,2,2,0
panel,small,arc,train,256,D1_to_V2,1024,1,1,1,0
full,small,arc,validation,299,old_to_V2,1196,1,1,0,0
full,small,arc,validation,299,D1_to_V2,1196,0,0,0,0
panel,small,arc,validation,128,old_to_V2,512,0,0,0,0
panel,small,arc,validation,128,D1_to_V2,512,0,0,0,0
