group,split,pair,benchmark,path,qid,V2,V2_reason,D1,D1_reason,kind,raw,label
small/large OBQA/ARC (V2 label index),fit,small,obqa,C2C,14-324,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D. The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/large OBQA/ARC (V2 label index),fit,small,obqa,C2C,1952,A,explicit_single,INVALID,declaration_without_label,"D1 INVALID, V2 valid","The correct answer is A.  | The reason why this is the correct answer is because when you scrape an object, small pieces or particles may break off of the object. This is an example of how rubbing an emery board across your nail can cause small pieces or particles to break off of the object.",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/large OBQA/ARC (V2 label index),fit,small,arc,C2C,MCAS_1998_4_17,A,explicit_single,INVALID,no_explicit_answer,"D1 INVALID, V2 valid","The correct order of the metamorphosis of a butterfly is A. egg, larva, pupa, adult.",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/large OBQA/ARC (V2 label index),fit,small,arc,C2C,Mercury_LBS10444,D,explicit_single,INVALID,no_explicit_answer,"D1 INVALID, V2 valid",The correct scientific notation for this distance is D.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/large OBQA/ARC (V2 label index),"panel (train, P2_10 cost panel)",small,arc,C2C,MCAS_1998_4_17,A,explicit_single,INVALID,no_explicit_answer,"D1 INVALID, V2 valid","The correct order of the metamorphosis of a butterfly is A. egg, larva, pupa, adult.",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,C2C,test:3784,A,explicit_single,INVALID,no_explicit_answer,"D1 INVALID, V2 valid",The correct answer to the question is A. The approximate range to assign to x is 2.01.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,R,test:3952,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H/I/J.   |  | The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,C2C,test:7667,E,explicit_single,INVALID,no_explicit_answer,"D1 INVALID, V2 valid",The correct answer to this question is E. Capitalism naturally corrects any societal problems through market forces without the need for intervention.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,R,test:11850,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H/I/J.   |  | The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,R,test:11459,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H/I/J.   |  | The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,R,test:1472,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H/I/J.   |  | The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,C2C,test:1587,H,explicit_single,INVALID,no_explicit_answer,"D1 INVALID, V2 valid",The correct answer to the question is H. The Fourteenth Amendment's protection of the right to a fair trial.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,C2C,test:1251,C,explicit_single,INVALID,declaration_without_label,"D1 INVALID, V2 valid","The correct answer is C. ""You will not have a nuisance claim unless you can prove the fraternity's activities have caused significant harm to your property."" | The reason why this is the best answer is that the buyer's knowledge of the fraternity's reputation and the fact that the noise from the parties is disruptive to her property are",POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,R,test:8565,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H/I/J.   |  | The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,R,test:7702,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H. The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/medium MMLU-Pro (E8),fit,small,mmlu_pro,C2C,test:5263,A,explicit_single,INVALID,explicit_multiple_options,"D1 INVALID, V2 valid",The correct answer is A/B/C/D/E/F/G/H/I/J. | The required rate of return for Stock A is -2.6% and for Stock B is 4.9%. The correct answer is A.,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
