file,line,text
P2_R3_E9BC_20260920T061042Z/PROTOCOL_FREEZE_E9B.md,5,"section 4 — no E9b model output was ever produced, because the protocol's own gate failed."
P2_R3_E9BC_20260920T061042Z/PROTOCOL_FREEZE_E9B.md,17,"n, changed k, conditional change rate with a two-sided Clopper-Pearson 95% interval, and the exact"
P2_R3_E9BC_20260920T061042Z/PROTOCOL_FREEZE_E9B.md,34,"| frozen thresholds | medium/OBQA/C2C q=.55 `1.3113021850585938e-06` (`P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/deployments/obqa_C.json`); exposure-free q=.50 from `P2_R2_CPU_20260919T220412Z/followup/results/f1c_medium_obqa_C2C_dev.json`; large/OBQA/Text and /C2C q=.80 `1.170039176940918e-03` (`P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/deployments/large_obqa_{T,C}.json`); large/OBQA/Text+fact q=.75 `2.611875534057617e-04` (`P2_R2_GPU_20260919T220941Z/e6/analysis/E6_RESULTS.json`) |"
P2_R3_E9BC_20260920T061042Z/PROTOCOL_FREEZE_E9B.md,38,"| statistics | Clopper-Pearson two-sided 95%; exact binomial p of H0: rho >= .05; paired bootstrap 2,000 resamples, seed 0, unit = question |"
P2_R3_E9BC_20260920T061042Z/PROTOCOL_FREEZE_E9B.md,44,"1. `P2_R2_CPU_20260919T220412Z/{SUMMARY.md,results/facts_F1_F4.csv,scripts/facts.py}` — E5 fact F1, the"
P2_R3_E9BC_20260920T061042Z/PROTOCOL_FREEZE_E9B.md,74,**FAILED — E9b is stopped and reported; no E9b model output was produced.**
P2_R3_E9BC_20260920T061042Z/PROTOCOL_AMENDMENT_E9B.md,43,## 3. Check C1 — verdict: **PASS**
P2_R3_E9BC_20260920T061042Z/PROTOCOL_AMENDMENT_E9B.md,53,"2. A first, deliberately looser pass also matched `question_id`, `example_id`, `qid`, `row_id` and"
P2_R3_E9BC_20260920T061042Z/PROTOCOL_AMENDMENT_E9B.md,70,## 4. Check C2 — verdict: **PASS**
P2_R3_E9BC_20260920T061042Z/PROTOCOL_AMENDMENT_E9B.md,83,"`…BOUNDARIES…/frozen_config.json` (ProbeMax, score choice, alpha=.05, delta, q-grid, p<=.001);"
