population,pair,dataset,split,n,training_labels,refitted_V2,evaluation_role,timing_source,family,action_pair,prediction_source,old_positive_n,old_negative_n,old_auc,D1_positive_n,D1_negative_n,D1_auc,V2_positive_n,V2_negative_n,V2_auc
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,R-T,unchanged_saved_probabilities,18,46,0.6183574879227053,18,46,0.6183574879227053,18,46,0.6183574879227053
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,R-C,unchanged_saved_probabilities,46,16,0.4633152173913043,35,16,0.42857142857142855,35,16,0.42857142857142855
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,R-A,unchanged_saved_probabilities,3,3,0.7777777777777778,3,3,0.7777777777777778,3,3,0.7777777777777778
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,T-C,unchanged_saved_probabilities,78,20,0.55,67,20,0.5231343283582089,67,20,0.5231343283582089
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,T-A,unchanged_saved_probabilities,44,16,0.5951704545454546,44,16,0.5951704545454546,44,16,0.5951704545454546
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,C-A,unchanged_saved_probabilities,17,47,0.46057571964956195,17,36,0.43137254901960786,17,36,0.43137254901960786
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-T,unchanged_saved_probabilities,18,46,0.6582125603864735,18,46,0.6582125603864735,18,46,0.6582125603864735
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-C,unchanged_saved_probabilities,46,16,0.46875,35,16,0.45357142857142857,35,16,0.45357142857142857
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-A,unchanged_saved_probabilities,3,3,1.0,3,3,1.0,3,3,1.0
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-C,unchanged_saved_probabilities,78,20,0.44743589743589746,67,20,0.45,67,20,0.45
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-A,unchanged_saved_probabilities,44,16,0.6292613636363636,44,16,0.6292613636363636,44,16,0.6292613636363636
full,large,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,C-A,unchanged_saved_probabilities,17,47,0.5644555694618273,17,36,0.5588235294117647,17,36,0.5588235294117647
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,R-T,unchanged_saved_probabilities,4,10,0.7,4,10,0.7,4,10,0.7
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,R-C,unchanged_saved_probabilities,17,4,0.5,6,4,0.125,6,4,0.125
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,R-A,unchanged_saved_probabilities,0,1,,0,1,,0,1,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,T-C,unchanged_saved_probabilities,24,5,0.5583333333333333,13,5,0.3076923076923077,13,5,0.3076923076923077
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,T-A,unchanged_saved_probabilities,10,5,0.76,10,5,0.76,10,5,0.76
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,C-A,unchanged_saved_probabilities,4,18,0.5555555555555556,4,7,0.21428571428571427,4,7,0.21428571428571427
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-T,unchanged_saved_probabilities,4,10,0.5,4,10,0.5,4,10,0.5
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-C,unchanged_saved_probabilities,17,4,0.4852941176470588,6,4,0.4166666666666667,6,4,0.4166666666666667
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-A,unchanged_saved_probabilities,0,1,,0,1,,0,1,
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-C,unchanged_saved_probabilities,24,5,0.425,13,5,0.3384615384615385,13,5,0.3384615384615385
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-A,unchanged_saved_probabilities,10,5,0.46,10,5,0.46,10,5,0.46
full,large,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,C-A,unchanged_saved_probabilities,4,18,0.4444444444444444,4,7,0.35714285714285715,4,7,0.35714285714285715
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,R-T,unchanged_saved_probabilities,75,136,0.5285294117647059,75,136,0.5285294117647059,75,136,0.5285294117647059
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,R-C,unchanged_saved_probabilities,67,147,0.49131891562595187,66,147,0.4907235621521336,66,147,0.4907235621521336
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,R-A,unchanged_saved_probabilities,17,16,0.5514705882352942,17,16,0.5514705882352942,17,16,0.5514705882352942
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,T-C,unchanged_saved_probabilities,104,123,0.5464352720450282,103,123,0.5489778198752862,103,123,0.5489778198752862
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,T-A,unchanged_saved_probabilities,138,76,0.5314645308924485,138,76,0.5314645308924485,138,76,0.5314645308924485
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,word,C-A,unchanged_saved_probabilities,141,60,0.5190307328605201,141,59,0.5189325640100974,141,59,0.5189325640100974
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-T,unchanged_saved_probabilities,75,136,0.5355882352941177,75,136,0.5355882352941177,75,136,0.5355882352941177
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-C,unchanged_saved_probabilities,67,147,0.4836023961823535,66,147,0.47619047619047616,66,147,0.47619047619047616
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-A,unchanged_saved_probabilities,17,16,0.4632352941176471,17,16,0.4632352941176471,17,16,0.4632352941176471
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-C,unchanged_saved_probabilities,104,123,0.5063320825515948,103,123,0.5024074512589786,103,123,0.5024074512589786
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-A,unchanged_saved_probabilities,138,76,0.528604118993135,138,76,0.528604118993135,138,76,0.528604118993135
full,small,obqa,dev,742,old_scoring,False,previously_exposed_development,accuracy_only,semantic,C-A,unchanged_saved_probabilities,141,60,0.5185579196217495,141,59,0.5109989181391994,141,59,0.5109989181391994
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,R-T,unchanged_saved_probabilities,39,55,0.45174825174825173,39,55,0.45174825174825173,39,55,0.45174825174825173
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,R-C,unchanged_saved_probabilities,24,69,0.5670289855072463,24,69,0.5670289855072463,24,69,0.5670289855072463
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,R-A,unchanged_saved_probabilities,8,8,0.515625,8,8,0.515625,8,8,0.515625
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,T-C,unchanged_saved_probabilities,37,66,0.5864045864045864,37,66,0.5864045864045864,37,66,0.5864045864045864
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,T-A,unchanged_saved_probabilities,55,39,0.48764568764568766,55,39,0.48764568764568766,55,39,0.48764568764568766
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,word,C-A,unchanged_saved_probabilities,69,24,0.626207729468599,69,24,0.626207729468599,69,24,0.626207729468599
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-T,unchanged_saved_probabilities,39,55,0.5524475524475524,39,55,0.5524475524475524,39,55,0.5524475524475524
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-C,unchanged_saved_probabilities,24,69,0.5193236714975845,24,69,0.5193236714975845,24,69,0.5193236714975845
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,R-A,unchanged_saved_probabilities,8,8,0.5,8,8,0.5,8,8,0.5
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-C,unchanged_saved_probabilities,37,66,0.5057330057330057,37,66,0.5057330057330057,37,66,0.5057330057330057
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,T-A,unchanged_saved_probabilities,55,39,0.5482517482517483,55,39,0.5482517482517483,55,39,0.5482517482517483
full,small,arc,validation,299,old_scoring,False,previously_exposed_development,accuracy_only,semantic,C-A,unchanged_saved_probabilities,69,24,0.5241545893719807,69,24,0.5241545893719807,69,24,0.5241545893719807
