reference,id,panel_ordinal,group_hash,category,K,route,q,threshold,fixed_ms,policy_ms,saving_ms,fixed_correct,policy_correct,accuracy_difference,fixed_answer,policy_answer,gold,fixed_invalid,policy_invalid,online_probe_ms,selector_ms,first_formal_request_in_pair,fixed_key,policy_key
Text,test:3074,0,ad23be1e8a17387e82872a437640dbfa3e8992404f6a8e8a3c5436aa1336c461,biology,10,T,0.4,3.838539123535156e-05,5232.788305031136,1806.6085851751268,3426.179719856009,0,0,0,H,H,A,False,False,342.42267394438386,0.0005208421498537064,True,mmlu_pro|test:3074|fixed_T,mmlu_pro|test:3074|policy_T
Text,test:3502,1,23b909928d8c9c8e2451fb75a7c5b8ab70c6c24e32359d901196e202552c8212,biology,10,R,0.4,3.838539123535156e-05,992.149265948683,296.57401400618255,695.5752519425005,1,1,0,D,D,D,False,False,46.444477047771215,0.00047101639211177826,False,mmlu_pro|test:3502|fixed_T,mmlu_pro|test:3502|policy_T
Text,test:3459,2,96454f3d066395ec82f04043235e3b8c3ebfc77629d90bf0b9b40c0a99ab411f,biology,10,R,0.4,3.838539123535156e-05,1612.2478069737554,307.25569603964686,1304.9921109341085,1,1,0,D,D,D,False,False,52.07749200053513,0.0002898741513490677,False,mmlu_pro|test:3459|fixed_T,mmlu_pro|test:3459|policy_T
Text,test:2955,3,6c32b8fc57811ff1a13d49406dbc8d3d0fc95c3300417e21af4f9a01bf4c3651,biology,10,R,0.4,3.838539123535156e-05,1236.170229036361,290.94367497600615,945.2265540603548,1,1,0,G,G,G,False,False,43.88315905816853,0.00037997961044311523,False,mmlu_pro|test:2955|fixed_T,mmlu_pro|test:2955|policy_T
Text,test:3232,4,3f32ee1b0c9f00bf7f5646d47af17cd024d7d66013d98c652443e9f389b2b78e,biology,10,R,0.4,3.838539123535156e-05,1302.353945095092,291.8579359538853,1010.4960091412067,1,1,0,G,G,G,False,False,44.04864087700844,0.0003711320459842682,False,mmlu_pro|test:3232|fixed_T,mmlu_pro|test:3232|policy_T
Text,test:3202,5,a90b82f34bf4b9b6e34906a71bdba60435df9e2754b3659d104e225abcbffa44,biology,10,R,0.4,3.838539123535156e-05,1620.5446240492165,289.8029461503029,1330.7416778989136,0,0,0,E,E,J,False,False,43.04604302160442,0.0003110617399215698,False,mmlu_pro|test:3202|fixed_T,mmlu_pro|test:3202|policy_T
Text,test:2979,6,87dfd1f1ce49b2832ca6a150cb13579fe104ba0881648c76bd2a2f42a00f394e,biology,10,R,0.4,3.838539123535156e-05,1011.7584499530494,291.7501819320023,720.0082680210471,1,1,0,I,I,I,False,False,44.091241201385856,0.0004309695214033127,False,mmlu_pro|test:2979|fixed_T,mmlu_pro|test:2979|policy_T
Text,test:297,7,ee1a35b77a60d71db8dcc07ad3bf483b8b98d4f49638beaa918325da573eb6b8,business,10,T,0.4,3.838539123535156e-05,921.5866990853101,962.2927331365645,-40.70603405125439,0,0,0,G,G,E,False,False,42.722180020064116,0.00029010698199272156,False,mmlu_pro|test:297|fixed_T,mmlu_pro|test:297|policy_T
Text,test:481,8,50d63723c9bd3083d00774dc0efe0aa664d734e9ed68f26ab1e6680ab1d02ddd,business,10,T,0.4,3.838539123535156e-05,1095.1858209446073,1140.5320388730615,-45.34621792845428,1,1,0,F,F,F,False,False,43.03629486821592,0.0003501772880554199,False,mmlu_pro|test:481|fixed_T,mmlu_pro|test:481|policy_T
Text,test:673,9,5ac6b01757fb71cb1845e552af126ec711c22f958702dbb71e9abf921af29694,business,10,T,0.4,3.838539123535156e-05,925.4172111395746,976.3530897907913,-50.935878651216626,0,0,0,F,F,H,False,False,43.10600599274039,0.00027101486921310425,False,mmlu_pro|test:673|fixed_T,mmlu_pro|test:673|policy_T
Text,test:205,10,dc8c276d4ae04ce05f71fddd13f91e423939fc0ff9b54dd3e4d3a487274dd566,business,10,T,0.4,3.838539123535156e-05,1181.4208789728582,1220.4261019360274,-39.00522296316922,0,0,0,J,J,F,False,False,42.73963300511241,0.0003098975867033005,False,mmlu_pro|test:205|fixed_T,mmlu_pro|test:205|policy_T
Text,test:429,11,e890296dddc5df108a8b0469784e18bc3ee45291e05da0fc63b9e9be5cbcf903,business,9,T,0.4,3.838539123535156e-05,1470.0365271419287,1508.6272759363055,-38.59074879437685,0,0,0,H,H,A,False,False,44.231618056073785,0.0002707820385694504,False,mmlu_pro|test:429|fixed_T,mmlu_pro|test:429|policy_T
Text,test:413,12,e674aeeb1293ef53503580a963d7510ae92013569cea1a03c61910c6390ef704,business,10,T,0.4,3.838539123535156e-05,1126.4792650472373,1167.5384270492941,-41.05916200205684,1,1,0,B,B,B,False,False,42.71993599832058,0.00030105002224445343,False,mmlu_pro|test:413|fixed_T,mmlu_pro|test:413|policy_T
Text,test:289,13,6421bd1764b5af2917a0b9f397256dae657e8dfbc61145259f6e5c2f2a006f87,business,10,T,0.4,3.838539123535156e-05,959.0782469604164,999.9325119424611,-40.8542649820447,0,0,0,C,C,J,False,False,45.45467300340533,0.0003210734575986862,False,mmlu_pro|test:289|fixed_T,mmlu_pro|test:289|policy_T
Text,test:770,14,ec5708ddf7d8d0367b1cd79a077e12f79f323282edecc37aa8235f58d5f996f3,business,10,T,0.4,3.838539123535156e-05,1398.729331092909,1442.3002279363573,-43.57089684344828,0,0,0,H,H,A,False,False,43.38445398025215,0.0002600718289613724,False,mmlu_pro|test:770|fixed_T,mmlu_pro|test:770|policy_T
Text,test:402,15,718d1a28b71380bd9dbdaea7e4f733ae946c47c9eca2ec4e702a9b8417ced309,business,10,T,0.4,3.838539123535156e-05,2037.760976003483,2040.2934700250626,-2.5324940215796232,1,1,0,A,A,A,False,False,52.82043805345893,0.00027101486921310425,False,mmlu_pro|test:402|fixed_T,mmlu_pro|test:402|policy_T
Text,test:4181,16,35a6cf0c7538e0cf30178a01375f7f8edd8a3896f06bd664624e58e986d26eb1,chemistry,10,R,0.4,3.838539123535156e-05,1361.2416400574148,334.85766197554767,1026.383978081867,1,1,0,D,D,D,False,False,44.62204687297344,0.00028009526431560516,False,mmlu_pro|test:4181|fixed_T,mmlu_pro|test:4181|policy_T
Text,test:3885,17,51439788d4cdf99aea7315f43dbe8a2a4990a4cbdde88bd950d19692d764fd44,chemistry,10,T,0.4,3.838539123535156e-05,1342.3478710465133,1391.1669137887657,-48.81904274225235,1,1,0,G,G,G,False,False,50.93143112026155,0.00026100315153598785,False,mmlu_pro|test:3885|fixed_T,mmlu_pro|test:3885|policy_T
Text,test:3996,18,b06945813b8155c3aa6c5295ea69a6b1eec06c4f96d0dd38a1a87117779ed192,chemistry,10,T,0.4,3.838539123535156e-05,1654.6503531280905,1699.275464983657,-44.6251118555665,0,0,0,F,F,H,False,False,44.42682699300349,0.00031082890927791595,False,mmlu_pro|test:3996|fixed_T,mmlu_pro|test:3996|policy_T
Text,test:4133,19,a5b8faaaf8da69b885295ee2fc376d06a022df9b852d8e569abe2944b610930d,chemistry,4,R,0.4,3.838539123535156e-05,1276.1647251900285,331.13620709627867,945.0285180937499,1,1,0,D,D,D,False,False,42.862697038799524,0.0002798624336719513,False,mmlu_pro|test:4133|fixed_T,mmlu_pro|test:4133|policy_T
Text,test:4665,20,03d06a634bfb515ee1556ef724557d755037d30d292631d109a95755e95ce8f7,chemistry,10,T,0.4,3.838539123535156e-05,1287.3673539143056,1324.8714520595968,-37.50409814529121,0,0,0,J,J,I,False,False,43.087380938231945,0.00029103830456733704,False,mmlu_pro|test:4665|fixed_T,mmlu_pro|test:4665|policy_T
Text,test:4076,21,8fc48fa7799bbe613577b8f238909ed02f68b1867611180a4836f98f44e42228,chemistry,10,R,0.4,3.838539123535156e-05,1224.4969750754535,289.78126985020936,934.7157052252442,1,1,0,G,G,G,False,False,42.757124872878194,0.00028009526431560516,False,mmlu_pro|test:4076|fixed_T,mmlu_pro|test:4076|policy_T
Text,test:4073,22,8767badf22410efb8d63f0e7c2d7062974e8004172fd4ecfb751a3371e5ba222,chemistry,10,T,0.4,3.838539123535156e-05,1270.0386310461909,1312.12453590706,-42.08590486086905,0,0,0,E,E,F,False,False,45.899482909590006,0.0003110617399215698,False,mmlu_pro|test:4073|fixed_T,mmlu_pro|test:4073|policy_T
Text,test:4334,23,7c48a93d8f6f3efce8c113295cde03d77179fe137fe7e4da9948c68e6b5039fc,chemistry,9,R,0.4,3.838539123535156e-05,1086.1428568605334,290.58244614861906,795.5604107119143,1,1,0,D,D,D,False,False,43.36260096170008,0.0003310851752758026,False,mmlu_pro|test:4334|fixed_T,mmlu_pro|test:4334|policy_T
Text,test:3783,24,2601d3ca187e5515ed8039b5f0444495fd251f878e7ff36baaeaa61f8e447ec6,chemistry,10,T,0.4,3.838539123535156e-05,1117.2864809632301,1155.3307271096855,-38.04424614645541,1,1,0,H,H,H,False,False,45.351285953074694,0.00030011869966983795,False,mmlu_pro|test:3783|fixed_T,mmlu_pro|test:3783|policy_T
Text,test:3934,25,f5dab9e6838d3ec73a9f91d48d1144eac25277f447900a08e8eb840bc13a9d6f,chemistry,10,T,0.4,3.838539123535156e-05,1182.7041159849614,1230.9951740317047,-48.291058046743274,1,1,0,A,A,A,False,False,44.923033798113465,0.00025122426450252533,False,mmlu_pro|test:3934|fixed_T,mmlu_pro|test:3934|policy_T
Text,test:3957,26,923ec12eb374e98b8add5d25b82cb3e39da36c37ad3522018b244b78f2f3f912,chemistry,10,T,0.4,3.838539123535156e-05,1063.536040019244,1102.1900789346546,-38.65403891541064,0,0,0,H,H,B,False,False,45.10138207115233,0.00033993273973464966,False,mmlu_pro|test:3957|fixed_T,mmlu_pro|test:3957|policy_T
Text,test:4214,27,7de708d206b782edbfa2f034ba5eff29121d43d7c068d7ef81036f3bb58c52bb,chemistry,10,T,0.4,3.838539123535156e-05,1442.3778511118144,1491.089996881783,-48.71214576996863,0,0,0,F,F,J,False,False,45.538449892774224,0.00028009526431560516,False,mmlu_pro|test:4214|fixed_T,mmlu_pro|test:4214|policy_T
Text,test:10489,28,7b1bc52cb50c1b9dfcee62a41f16f9c9d6d5b24dd37555ada15d4cfb94c03312,computer science,4,T,0.4,3.838539123535156e-05,1204.9370750319213,1239.2512909136713,-34.31421588174999,0,0,0,D,D,A,False,False,43.47439296543598,0.00029010698199272156,False,mmlu_pro|test:10489|fixed_T,mmlu_pro|test:10489|policy_T
Text,test:10675,29,0f6a950eecf3b6a8a826b7b9f9bc95d9353c0cfc07d5c13edb4a53fce99a766d,computer science,10,T,0.4,3.838539123535156e-05,1205.8292229194194,1248.1614251155406,-42.332202196121216,0,0,0,C,C,H,False,False,43.493828969076276,0.00030105002224445343,False,mmlu_pro|test:10675|fixed_T,mmlu_pro|test:10675|policy_T
Text,test:10373,30,2a886b1ed6bf43b1ddac1662e033ccb721fc2d906aa4171488bb5d0a16d01109,computer science,10,R,0.4,3.838539123535156e-05,1524.3835910223424,332.906621042639,1191.4769699797034,0,0,0,B,B,D,False,False,43.67481218650937,0.00029080547392368317,False,mmlu_pro|test:10373|fixed_T,mmlu_pro|test:10373|policy_T
Text,test:10764,31,de306b5aeff3c4e65fd73b63880e2894dae7cfce8d2edb78b08b42ea8b01dc53,computer science,10,R,0.4,3.838539123535156e-05,1099.107454996556,290.54227005690336,808.5651849396527,1,1,0,E,E,E,False,False,42.903772089630365,0.00029103830456733704,False,mmlu_pro|test:10764|fixed_T,mmlu_pro|test:10764|policy_T
Text,test:6990,32,af8ed3d56dc8c6892233bb759c09360d8fc2ce42e21432b5b8005e91d3e47f0e,economics,10,R,0.4,3.838539123535156e-05,1928.4541620872915,348.8281648606062,1579.6259972266853,1,1,0,D,D,D,False,False,55.46987592242658,0.00030105002224445343,False,mmlu_pro|test:6990|fixed_T,mmlu_pro|test:6990|policy_T
Text,test:7268,33,9d1463ce64fcdbd023b9d9dc251f2ca9bfde912f21895b34ce0316ba26691aa6,economics,10,T,0.4,3.838539123535156e-05,1357.8419839031994,1401.0950869414955,-43.2531030382961,0,0,0,B,B,H,False,False,45.57519895024598,0.00029103830456733704,False,mmlu_pro|test:7268|fixed_T,mmlu_pro|test:7268|policy_T
Text,test:6958,34,2d75a90767866960399687d621215d79b68eb5bc5164ca5301ddc91c753d6817,economics,10,T,0.4,3.838539123535156e-05,1289.437887025997,1334.373374003917,-44.935486977919936,0,0,0,J,J,B,False,False,42.903401888906956,0.000250060111284256,False,mmlu_pro|test:6958|fixed_T,mmlu_pro|test:6958|policy_T
Text,test:7440,35,2b8ba8ca8f47dab0064c414be27aa790fef05efaf059d6fc80c82b62e3ae9638,economics,9,R,0.4,3.838539123535156e-05,1114.4378499593586,292.9681611713022,821.4696887880564,1,1,0,G,G,G,False,False,43.72844402678311,0.00030011869966983795,False,mmlu_pro|test:7440|fixed_T,mmlu_pro|test:7440|policy_T
Text,test:7050,36,c3a915a25ba9865f459a0f403855dd23605168852cfcce1da17696e27713450e,economics,10,R,0.4,3.838539123535156e-05,718.952567782253,292.4558920785785,426.49667570367455,1,1,0,B,B,B,False,False,43.02458115853369,0.0002898741513490677,False,mmlu_pro|test:7050|fixed_T,mmlu_pro|test:7050|policy_T
Text,test:7242,37,6e1c2e513ccd17b6ba56371cd65c1c97aa59d1c8e0044c8da6858718dac9bdd6,economics,10,T,0.4,3.838539123535156e-05,1133.3636709023267,1182.0938810706139,-48.73021016828716,1,1,0,B,B,B,False,False,43.56607608497143,0.0003098975867033005,False,mmlu_pro|test:7242|fixed_T,mmlu_pro|test:7242|policy_T
Text,test:7635,38,1a6e63f1f5a7365d20a2a0a86520f77b8ae18db94a2b08b482c9643ed79bcd7e,economics,8,R,0.4,3.838539123535156e-05,1014.3459888640791,291.06985917314887,723.2761296909302,1,1,0,A,A,A,False,False,42.835263069719076,0.0002998858690261841,False,mmlu_pro|test:7635|fixed_T,mmlu_pro|test:7635|policy_T
Text,test:7309,39,be13576d2a46b5541e094362537d026875a08182c22caf7adda888886f085531,economics,10,T,0.4,3.838539123535156e-05,1422.4103400483727,1470.7468538545072,-48.33651380613446,0,0,0,C,C,J,False,False,43.63699001260102,0.0003809109330177307,False,mmlu_pro|test:7309|fixed_T,mmlu_pro|test:7309|policy_T
