benchmark,question_id,split,reviewed_pairs,reviewed_actions,n_review_records,diagnostic_reasons,selection_rule,source,label
ARC,ACTAAP_2008_7_15,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,ACTAAP_2009_7_17,calibration,small,acw;receiver_only;text,5,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,ACTAAP_2010_7_1,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,ACTAAP_2014_7_11,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AIMS_2008_4_2,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AIMS_2008_8_5,calibration,small,acw;receiver_only,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AIMS_2009_4_11,calibration,small,acw;receiver_only;text,5,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AIMS_2009_4_24,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AKDE&ED_2008_8_16,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AKDE&ED_2012_8_14,calibration,small,c2c,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,AKDE&ED_2012_8_42,calibration,small,text,2,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,CSZ_2004_5_CSZ10003,calibration,small,acw;receiver_only;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,LEAP_2001_4_10241,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,LEAP_2004_4_10259,calibration,small,acw;receiver_only,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,LEAP_2008_4_10288,calibration,small,acw;text,3,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,LEAP_2008_8_10423,calibration,small,acw,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,LEAP__5_10318,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_1998_4_3,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_1998_8_7,calibration,large,c2c,1,explicit_single,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
ARC,MCAS_1999_4_17,calibration,small,text,1,explicit_multiple_options,"saved-vs-diagnostic parser disagreement or ambiguous diagnostic parse (content-selected, NOT random)",P2_SCORE_SENSITIVITY_20260912T055929Z/case_review.jsonl,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
