population,action,check,expected,obtained,pass_,label
small/OBQA,Text,E5 e5c_change_decomposition,136/128/75,136/128/75,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,C2C,E5 e5c_change_decomposition,147/137/66,147/137/66,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,V1,E5 e5c_change_decomposition,164/235/159,164/235/159,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,V2,E5 e5c_change_decomposition,78/88/47,78/88/47,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,Text,E5 e5c_change_decomposition,55/51/39,55/51/39,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,C2C,E5 e5c_change_decomposition,69/67/24,69/67/24,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,V1,E5 e5c_change_decomposition,65/92/52,65/92/52,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,V2,E5 e5c_change_decomposition,38/33/18,38/33/18,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,Text,E5 e5c_change_decomposition,82/43/49,82/43/49,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,C2C,E5 e5c_change_decomposition,44/39/48,44/39/48,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,V1,E5 e5c_change_decomposition,66/43/74,66/43/74,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,V2,E5 e5c_change_decomposition,66/37/49,66/37/49,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,Text,E5 e5c_change_decomposition,25/6/21,25/6/21,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,C2C,E5 e5c_change_decomposition,10/13/25,10/13/25,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,V1,E5 e5c_change_decomposition,19/14/20,19/14/20,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,V2,E5 e5c_change_decomposition,16/7/13,16/7/13,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,E5 e5c_change_decomposition,46/8/18,46/8/18,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,paper large/OBQA direction counts,46 wrong->right / 18 right->wrong,46 wrong->right / 18 right->wrong,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,E5 e5c_change_decomposition,16/9/35,16/9/35,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,paper large/OBQA direction counts,16 wrong->right / 35 right->wrong,16 wrong->right / 35 right->wrong,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,V1,E5 e5c_change_decomposition,48/23/66,48/23/66,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,V1,paper large/OBQA direction counts,48 wrong->right / 66 right->wrong,48 wrong->right / 66 right->wrong,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,V2,E5 e5c_change_decomposition,31/13/24,31/13/24,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,Text,E5 e5c_change_decomposition,10/1/4,10/1/4,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,C2C,E5 e5c_change_decomposition,4/2/6,4/2/6,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,V1,E5 e5c_change_decomposition,6/0/14,6/0/14,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,V2,E5 e5c_change_decomposition,7/1/4,7/1/4,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,Text,E5 e5c_change_decomposition,166/266/129,166/266/129,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,C2C,E5 e5c_change_decomposition,155/397/204,155/397/204,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,V1,E5 e5c_change_decomposition,232/454/228,232/454/228,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,V2,E5 e5c_change_decomposition,151/257/127,151/257/127,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
