policy,id,output,V2_label,official_label,transition,output_pattern,official_branch,category,category_name,legal_labels,u,raw_first80
large/ARC/C2C,Mercury_402216,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
large/ARC/C2C,Mercury_7174213,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. the distance between molecules in the medium
large/ARC/C2C,Mercury_412681,reference,C,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,C. Double the mass of m_{1} and halve the distance between m_{1} and m_{2}.
large/ARC/C2C,Mercury_400440,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. NaCl + H_{2}O
large/ARC/C2C,Mercury_LBS11018,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,7.152557373046875e-07,B. W is the hardest of the four substances tested.
large/ARC/C2C,Mercury_415093,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,4.5418739318847656e-05,D. 2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O
large/ARC/C2C,Mercury_SC_408568,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. the distance each ball is dropped
large/ARC/C2C,AKDE&ED_2008_8_7,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. Design an experiment that tests multiple types of popcorn using repeated tria
large/ARC/C2C,MCAS_2005_5_34,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. using storage space efficiently.
large/ARC/C2C,Mercury_SC_408384,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,6.556510925292969e-07,B. Two different substances combine.
large/ARC/C2C,MEAP_2005_5_12,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,4.76837158203125e-07,A. Plant each field at one-year intervals.
large/ARC/C2C,MCAS_2000_4_30,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,1.1920928955078125e-07,D. AM/FM radio
large/ARC/C2C,Mercury_178255,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,1.1920928955078125e-07,B. Neutralize the acid before pouring it down a sink.
large/ARC/C2C,NCEOGA_2013_8_26,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. because pollutants are filtered by rock and soil deep within Earth
large/ARC/C2C,Mercury_SC_400052,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,1.1920928955078125e-07,B. tube-like body
large/ARC/C2C,Mercury_406800,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. the same traits as the single parent
large/ARC/C2C,Mercury_SC_400401,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,"B. deep, bowl-shaped lake"
large/ARC/C2C,MDSA_2007_8_24,reference,C,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,C. The number of atoms in the water remains constant.
large/ARC/C2C,VASoL_2009_3_12,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. stand between a light and the wall
large/ARC/C2C,Mercury_7201968,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,4.9233436584472656e-05,A. artificial substances that mimic human peptides
large/ARC/C2C,Mercury_176855,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. glucose
large/ARC/C2C,NYSEDREGENTS_2013_4_21,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. seed -> young plant -> adult plant
large/ARC/C2C,AKDE&ED_2008_8_36,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,A. chemical -> mechanical -> heat
large/ARC/C2C,Mercury_7131530,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. a chemical change because a new substance was formed
large/ARC/C2C,MDSA_2013_8_23,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. The substances chemically reacted and produced a gas.
large/ARC/C2C,Mercury_415084,reference,C,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,1.7881393432617188e-06,C. 80 m/h
large/ARC/C2C,Mercury_415082,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,2.2649765014648438e-06,A. 5 m/s
large/ARC/C2C,Mercury_7027248,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. genetic modification
large/ARC/C2C,MDSA_2011_5_23,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. a model of a stream flowing down a hillside
large/ARC/C2C,Mercury_7230073,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. suntan lotion
large/ARC/C2C,MCAS_2002_8_17,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. They cannot be divided into smaller substances.
large/ARC/C2C,Mercury_192220,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. glucose
large/ARC/C2C,Mercury_407019,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,D. distance between the Sun and the nearest star
large/ARC/C2C,NYSEDREGENTS_2015_4_25,reference,C,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,C. seed -> young plant -> mature plant
large/ARC/C2C,Mercury_409317,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. 34.98 km/sec
large/ARC/C2C,Mercury_7221078,reference,C,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,C. by decreasing the birds' overall health
large/ARC/C2C,Mercury_7211033,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. glucose
large/ARC/C2C,Mercury_402563,reference,B,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,B. +1
large/ARC/C2C,Mercury_SC_LBS10337,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,A. Earth constantly takes in more heat from the Sun.
large/ARC/C2C,Mercury_401523,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,A. The distance is extremely large.
large/ARC/C2C,Mercury_183890,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,2.1457672119140625e-05,D. cold-blooded
large/ARC/C2C,TIMSS_1995_8_L6,reference,D,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,"D. Unlike snakes, birds are warm-blooded; they must eat food to maintain a const"
large/ARC/C2C,Mercury_7154315,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,4.76837158203125e-07,A. using compost as a fertilizer for lawns and gardens
large/ARC/C2C,MCAS_2003_8_7,reference,A,INVALID,label->INVALID,leading_label_then_option_text,blocked_by_math_substring,C2,"option text with a math substring (tan/sin/""/"")",ABCD,0.0,A. advertising
