label_group,pair_R,pair_b,n_questions,n_change_label_differs,ids,label
V2idx|large|obqa|cal,R,Text,1366,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|obqa|cal,R,C2C,1366,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|obqa|fit,R,Text,2100,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|obqa|fit,R,C2C,2100,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|arc|cal,R,Text,448,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|arc|cal,R,C2C,448,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|arc|fit,R,Text,671,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|arc|fit,R,C2C,671,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|obqa|cal,R,Text,1366,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|obqa|cal,R,C2C,1366,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|obqa|fit,R,Text,2100,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|obqa|fit,R,C2C,2100,1,1952,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|arc|cal,R,Text,448,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|arc|cal,R,C2C,448,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|arc|fit,R,Text,671,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|arc|fit,R,C2C,671,2,MCAS_1998_4_17;Mercury_LBS10444,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|obqa|dev,R,Text,742,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|obqa|dev,R,C2C,742,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|arc|dev,R,Text,299,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|large|arc|dev,R,C2C,299,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|obqa|dev,R,Text,742,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|obqa|dev,R,C2C,742,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|arc|dev,R,Text,299,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
V2idx|small|arc|dev,R,C2C,299,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|obqa|panel (dev, P2_10 cost panel)",R,Text,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|obqa|panel (dev, P2_10 cost panel)",R,C2C,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|arc|panel (dev, P2_10 cost panel)",R,Text,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|arc|panel (dev, P2_10 cost panel)",R,C2C,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|obqa|panel (dev, P2_10 cost panel)",R,Text,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|obqa|panel (dev, P2_10 cost panel)",R,C2C,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|arc|panel (dev, P2_10 cost panel)",R,Text,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|arc|panel (dev, P2_10 cost panel)",R,C2C,128,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|obqa|panel (train, P2_10 cost panel)",R,Text,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|obqa|panel (train, P2_10 cost panel)",R,C2C,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|arc|panel (train, P2_10 cost panel)",R,Text,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|large|arc|panel (train, P2_10 cost panel)",R,C2C,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|obqa|panel (train, P2_10 cost panel)",R,Text,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|obqa|panel (train, P2_10 cost panel)",R,C2C,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|arc|panel (train, P2_10 cost panel)",R,Text,256,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
"V2idx|small|arc|panel (train, P2_10 cost panel)",R,C2C,256,1,MCAS_1998_4_17,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|obqa|fit,R,Text,2100,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|obqa|fit,R,C2C,2100,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|obqa|cal,R,Text,1366,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|obqa|cal,R,C2C,1366,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|obqa|dev,R,Text,742,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|obqa|dev,R,C2C,742,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|arc|fit,R,Text,671,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|arc|fit,R,C2C,671,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|arc|cal,R,Text,448,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|arc|cal,R,C2C,448,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium|arc|dev,R,Text,299,0,,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
