reference,id,panel_ordinal,route,expected_source,expected_answer,policy_answer,raw_answer_match,canonical_parsed_match,full_parsed_record_match,generated_token_ids_match,helper_message_match,fixed_vs_Stage1_raw_match,fixed_vs_Stage1_parsed_match,online_probe_equals_Stage1,online_probe_input_hash_matches_Stage1,online_route_matches_Stage1,differences_retained_without_retry,required_output_identity_pass
Text,test:3074,0,T,same-round fixed reference,H,H,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:3502,1,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:3459,2,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:2955,3,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
Text,test:3232,4,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
Text,test:3202,5,R,Stage1 native R,E,E,True,True,True,True,,True,True,True,True,True,True,True
Text,test:2979,6,R,Stage1 native R,I,I,True,True,True,True,,True,True,True,True,True,True,True
Text,test:297,7,T,same-round fixed reference,G,G,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:481,8,T,same-round fixed reference,F,F,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:673,9,T,same-round fixed reference,F,F,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:205,10,T,same-round fixed reference,J,J,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:429,11,T,same-round fixed reference,H,H,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:413,12,T,same-round fixed reference,B,B,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:289,13,T,same-round fixed reference,C,C,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:770,14,T,same-round fixed reference,H,H,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:402,15,T,same-round fixed reference,A,A,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:4181,16,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:3885,17,T,same-round fixed reference,G,G,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:3996,18,T,same-round fixed reference,F,F,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:4133,19,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:4665,20,T,same-round fixed reference,J,J,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:4076,21,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
Text,test:4073,22,T,same-round fixed reference,E,E,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:4334,23,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:3783,24,T,same-round fixed reference,H,H,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:3934,25,T,same-round fixed reference,A,A,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:3957,26,T,same-round fixed reference,H,H,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:4214,27,T,same-round fixed reference,F,F,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:10489,28,T,same-round fixed reference,D,D,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:10675,29,T,same-round fixed reference,C,C,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:10373,30,R,Stage1 native R,B,B,True,True,True,True,,True,True,True,True,True,True,True
Text,test:10764,31,R,Stage1 native R,E,E,True,True,True,True,,True,True,True,True,True,True,True
Text,test:6990,32,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:7268,33,T,same-round fixed reference,B,B,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:6958,34,T,same-round fixed reference,J,J,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:7440,35,R,Stage1 native R,G,G,True,True,True,True,,True,True,True,True,True,True,True
Text,test:7050,36,R,Stage1 native R,B,B,True,True,True,True,,True,True,True,True,True,True,True
Text,test:7242,37,T,same-round fixed reference,B,B,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:7635,38,R,Stage1 native R,A,A,True,True,True,True,,True,True,True,True,True,True,True
Text,test:7309,39,T,same-round fixed reference,C,C,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:7272,40,T,same-round fixed reference,F,F,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:11584,41,T,same-round fixed reference,I,I,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:11872,42,R,Stage1 native R,E,E,True,True,True,True,,True,True,True,True,True,True,True
Text,test:11446,43,T,same-round fixed reference,A,A,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:12100,44,T,same-round fixed reference,I,I,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:11735,45,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:12076,46,T,same-round fixed reference,B,B,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:12032,47,R,Stage1 native R,H,H,True,True,True,True,,True,True,True,True,True,True,True
Text,test:11967,48,T,same-round fixed reference,B,B,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:11316,49,T,same-round fixed reference,C,C,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:11631,50,R,Stage1 native R,I,I,True,True,True,True,,True,True,True,True,True,True,True
Text,test:11977,51,T,same-round fixed reference,D,D,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:6472,52,R,Stage1 native R,J,J,True,True,True,True,,True,True,True,True,True,True,True
Text,test:6082,53,R,Stage1 native R,B,B,True,True,True,True,,True,True,True,True,True,True,True
Text,test:6346,54,R,Stage1 native R,J,J,True,True,True,True,,True,True,True,True,True,True,True
Text,test:6561,55,T,same-round fixed reference,C,C,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:6557,56,R,Stage1 native R,D,D,True,True,True,True,,True,True,True,True,True,True,True
Text,test:6446,57,T,same-round fixed reference,H,H,True,True,True,True,True,True,True,True,True,True,True,True
Text,test:6394,58,R,Stage1 native R,J,J,True,True,True,True,,True,True,True,True,True,True,True
Text,test:6608,59,T,same-round fixed reference,A,A,True,True,True,True,True,True,True,True,True,True,True,True
