check,expected,obtained,pass_,label
"0c real gain over R, small/OBQA Text",136,136,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
"0c real gain over R, small/OBQA C2C",147,147,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
"0c real gain over R, small/OBQA Text+C2C (oracle)",213,213,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA Text corrective,136,136,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA Text harmful,75,75,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA Text neutral(wrong->wrong),128,128,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA Text changed,339,339,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA C2C corrective,147,147,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA C2C harmful,66,66,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA C2C neutral(wrong->wrong),137,137,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA C2C changed,350,350,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V1 corrective,164,164,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V1 harmful,159,159,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V1 neutral(wrong->wrong),235,235,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V1 changed,558,558,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V2 corrective,78,78,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V2 harmful,47,47,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V2 neutral(wrong->wrong),88,88,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0c E5 decomposition small/OBQA V2 changed,213,213,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d Table 1 small/OBQA N,742,742,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d Table 1 small/OBQA correct R/Text/C2C,285 / 346 / 366,285 / 346 / 366,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d Table 1 small/OBQA oracle,498,498,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d Table 1 small/OBQA gain (pp),17.79,17.79,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d tab:null small/OBQA correct R,285,285,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d tab:null small/OBQA correct V1,290,290,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d tab:null small/OBQA correct V2,316,316,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d tab:null small/OBQA % changed V1,75.20,75.20,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d tab:null small/OBQA % changed V2,28.71,28.71,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0d tab:overlap small/OBQA a_Text_only,120,120,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
