id,panel_ordinal,ProbeMax,omitted,fixed_ms,policy_ms,saving_ms,probe_ms,policy_answer,fixed_answer,gold,policy_correct,fixed_correct,changed_vs_fixed,in_version_b,label
9-782,0,0.0002690553665161133,0,1153.9034449961036,686.8755179457366,467.027927050367,66.61994894966483,A,A,A,1,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-290,1,0.00020372867584228516,1,776.8036660272628,223.91828382387757,552.8853822033852,31.871499959379435,D,A,A,0,1,1,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-823,2,7.522106170654297e-05,1,721.6061318758875,223.89608318917453,497.710048686713,31.893812119960785,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-745,3,0.0,1,827.6227430906147,223.5494120977819,604.0733309928328,31.65332111530006,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-245,4,3.5762786865234375e-07,1,788.0630160216242,223.9148081280291,564.1482078935951,32.134101958945394,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-721,5,7.987022399902344e-06,1,649.3536741472781,223.5099480021745,425.8437261451036,32.187483040615916,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-642,6,0.000901639461517334,0,769.1526380367577,811.586449155584,-42.43381111882627,32.82667207531631,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-577,7,0.0,1,742.3248840495944,255.4959619883448,486.8289220612496,31.54070908203721,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-1215,8,0.3775460720062256,0,665.4974389821291,696.6813891194761,-31.183950137346983,31.81146690621972,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-488,9,0.0,1,853.5862958524376,223.67980587296188,629.9064899794757,31.574822962284088,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
9-892,10,0.0,1,637.2461430728436,254.16596699506044,383.0801760777831,31.69929701834917,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
1683,11,0.0,1,567.858048947528,223.16502104513347,344.69302790239453,31.69508883729577,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
11-744,12,8.940696716308594e-07,1,843.6142730060965,223.30719721503556,620.3070757910609,31.835793051868677,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
12-428,13,0.0,1,804.5921640004963,223.4373209066689,581.1548430938274,31.87825297936797,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-443,14,0.037691712379455566,0,794.9612010270357,826.0305249132216,-31.069323886185884,31.909151002764702,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-676,15,1.6629695892333984e-05,1,733.3855780307204,223.07858779095113,510.3069902397692,31.93179308436811,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
14-129,16,4.1961669921875e-05,1,697.0019810833037,222.70422498695552,474.29775609634817,31.748919980600476,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-321,17,0.0,1,618.5094721149653,222.87954506464303,395.6299270503223,31.69730305671692,C,C,C,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
13-462,18,0.0,1,780.2395538892597,254.2893080972135,525.9502457920462,32.03554800711572,D,D,D,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
7-455,19,8.702278137207031e-06,1,785.3926338721067,222.59180387482047,562.8008299972862,31.718682032078505,A,A,A,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
10-677,20,0.00039380788803100586,0,839.22387403436,870.6631630193442,-31.43928898498416,31.250564847141504,B,B,B,1,1,0,1,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
