setting,benchmark,output,reference,id,V2_label,official_label,transition,output_pattern,official_branch,math_substrings,answer_words,changes_disagreement_label,in_exposed_X,legal_labels,raw_first80,label
small/OBQA/Text,obqa,R,Text,1962,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,1494,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,1494,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,12-937,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-799,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-402,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-635,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,14-798,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-798,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,12-142,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,1442,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,656,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-1103,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,1766,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,10-357,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-797,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,11-67,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,14-638,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-600,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,13-991,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-339,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,13-891,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,10-861,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-559,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,110,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,11-332,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,11-332,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,11-595,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,8-219,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,10-1061,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,13-904,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-982,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,11-490,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,11-490,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-752,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,1826,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,10-308,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,7-525,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,7-525,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-735,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,13-679,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,10-344,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,13-621,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-259,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,10-1047,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,8-172,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,13-166,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,7-389,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,1721,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,1721,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,12-344,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,8-432,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,1944,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,1944,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,14-396,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-1265,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,10-855,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,370,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-1406,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,True,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,R,Text,14-1416,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,obqa,reference,Text,14-1416,INVALID,A,INVALID->label,declaration_several_letters,answer_phrase_first_ABCD_char,/,answer|correct,False,True,ABCD,The correct answer is A/B/C/D.,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
