pair,dataset,family,n_actions,lambda,n,id,old_action,updated_action,old_correct,updated_correct
large,obqa,word,3,0,742,10-198,T,C,1,1
large,obqa,word,3,0,742,10-293,T,C,1,1
large,obqa,word,3,0,742,11-247,C,T,1,1
large,obqa,word,3,0,742,13-1023,T,C,1,1
large,obqa,word,3,0,742,14-245,T,C,1,1
large,obqa,word,3,0,742,14-647,R,C,0,0
large,obqa,word,3,0,742,870,R,C,1,1
large,obqa,word,3,0.01,742,10-293,R,C,1,1
large,obqa,word,3,0.01,742,10-441,R,C,1,1
large,obqa,word,3,0.01,742,10-724,T,C,1,0
large,obqa,word,3,0.01,742,11-347,T,C,1,1
large,obqa,word,3,0.01,742,11-444,R,C,1,1
large,obqa,word,3,0.01,742,11-552,T,C,1,1
large,obqa,word,3,0.01,742,11-665,C,R,1,1
large,obqa,word,3,0.01,742,12-1206,T,C,0,1
large,obqa,word,3,0.01,742,12-318,T,C,1,0
large,obqa,word,3,0.01,742,13-518,T,C,1,1
large,obqa,word,3,0.01,742,14-1139,R,C,1,1
large,obqa,word,3,0.01,742,14-1277,R,C,1,1
large,obqa,word,3,0.01,742,14-245,R,C,1,1
large,obqa,word,3,0.01,742,14-647,R,C,0,0
large,obqa,word,3,0.01,742,14-683,T,C,1,1
large,obqa,word,3,0.01,742,14-877,R,C,1,1
large,obqa,word,3,0.01,742,154,R,C,0,0
large,obqa,word,3,0.01,742,7-1025,T,C,1,1
large,obqa,word,3,0.01,742,7-319,T,C,1,1
large,obqa,word,3,0.01,742,870,R,C,1,1
large,obqa,word,3,0.03,742,10-160,R,C,0,1
large,obqa,word,3,0.03,742,10-293,R,C,1,1
large,obqa,word,3,0.03,742,10-441,R,C,1,1
large,obqa,word,3,0.03,742,10-681,R,C,1,1
large,obqa,word,3,0.03,742,10-757,R,C,1,1
large,obqa,word,3,0.03,742,10-959,R,C,1,1
large,obqa,word,3,0.03,742,1043,R,C,1,1
large,obqa,word,3,0.03,742,11-347,R,C,1,1
large,obqa,word,3,0.03,742,11-37,R,C,1,1
large,obqa,word,3,0.03,742,11-371,R,C,0,0
large,obqa,word,3,0.03,742,11-656,R,C,1,1
large,obqa,word,3,0.03,742,12-318,R,C,1,0
large,obqa,word,3,0.03,742,12-488,R,C,1,1
large,obqa,word,3,0.03,742,12-693,R,C,1,1
large,obqa,word,3,0.03,742,12-77,T,C,1,1
large,obqa,word,3,0.03,742,12-817,R,C,1,1
large,obqa,word,3,0.03,742,12-958,R,C,1,1
large,obqa,word,3,0.03,742,13-216,R,C,1,1
large,obqa,word,3,0.03,742,13-462,T,C,1,1
large,obqa,word,3,0.03,742,13-504,R,C,1,1
large,obqa,word,3,0.03,742,13-550,R,C,1,1
large,obqa,word,3,0.03,742,14-1170,R,C,1,1
large,obqa,word,3,0.03,742,14-1210,R,C,1,1
large,obqa,word,3,0.03,742,14-1504,R,C,1,1
large,obqa,word,3,0.03,742,14-218,R,C,1,1
large,obqa,word,3,0.03,742,14-245,R,C,1,1
large,obqa,word,3,0.03,742,14-251,T,C,1,1
large,obqa,word,3,0.03,742,14-342,C,R,1,1
large,obqa,word,3,0.03,742,14-448,R,C,1,1
large,obqa,word,3,0.03,742,14-467,R,C,1,1
large,obqa,word,3,0.03,742,14-683,R,C,1,1
large,obqa,word,3,0.03,742,14-96,R,C,1,1
large,obqa,word,3,0.03,742,19,R,C,0,0
large,obqa,word,3,0.03,742,7-1025,R,C,1,1
large,obqa,word,3,0.03,742,7-319,R,C,1,1
large,obqa,word,3,0.03,742,7-347,R,C,1,0
large,obqa,word,3,0.03,742,7-813,T,C,0,0
large,obqa,word,3,0.03,742,9-423,C,R,1,1
large,obqa,word,3,0.1,742,10-1005,R,C,1,1
large,obqa,word,3,0.1,742,10-233,R,C,1,1
large,obqa,word,3,0.1,742,10-724,R,C,0,0
large,obqa,word,3,0.1,742,11-523,R,C,0,0
large,obqa,word,3,0.1,742,11-666,R,C,1,1
large,obqa,word,3,0.1,742,1195,R,C,1,1
large,obqa,word,3,0.1,742,12-1206,R,C,0,1
large,obqa,word,3,0.1,742,12-291,R,C,1,1
large,obqa,word,3,0.1,742,12-488,R,C,1,1
large,obqa,word,3,0.1,742,13-1023,R,C,1,1
large,obqa,word,3,0.1,742,13-762,R,C,0,0
large,obqa,word,3,0.1,742,14-1168,R,C,1,1
large,obqa,word,3,0.1,742,14-1451,R,C,0,0
large,obqa,word,3,0.1,742,14-1467,R,C,1,1
large,obqa,word,3,0.1,742,14-457,R,C,1,1
large,obqa,word,3,0.1,742,14-897,R,C,1,1
large,obqa,word,3,0.1,742,1455,R,C,1,1
large,obqa,word,3,0.1,742,1927,R,C,1,1
large,obqa,word,3,0.1,742,8-23,R,C,1,1
large,obqa,word,3,0.1,742,8-420,C,R,1,1
large,obqa,word,3,0.1,742,8-495,C,R,1,1
large,obqa,word,3,0.1,742,9-1079,R,C,1,1
large,obqa,word,3,0.1,742,9-551,R,C,1,1
large,obqa,word,4,0,742,10-198,T,C,1,1
large,obqa,word,4,0,742,10-293,A,C,1,1
large,obqa,word,4,0,742,11-247,C,T,1,1
large,obqa,word,4,0,742,13-1023,T,C,1,1
large,obqa,word,4,0,742,14-245,T,C,1,1
large,obqa,word,4,0,742,14-647,R,C,0,0
large,obqa,word,4,0,742,870,A,C,1,1
large,obqa,word,4,0.01,742,10-293,A,C,1,1
large,obqa,word,4,0.01,742,10-441,R,C,1,1
large,obqa,word,4,0.01,742,10-724,T,C,1,0
large,obqa,word,4,0.01,742,11-347,T,C,1,1
large,obqa,word,4,0.01,742,11-444,A,C,1,1
large,obqa,word,4,0.01,742,11-521,C,A,1,1
large,obqa,word,4,0.01,742,11-552,T,C,1,1
large,obqa,word,4,0.01,742,11-665,C,R,1,1
large,obqa,word,4,0.01,742,12-1206,T,C,0,1
large,obqa,word,4,0.01,742,12-318,T,C,1,0
large,obqa,word,4,0.01,742,13-518,T,C,1,1
large,obqa,word,4,0.01,742,14-1277,A,C,1,1
large,obqa,word,4,0.01,742,14-245,R,C,1,1
large,obqa,word,4,0.01,742,14-647,R,C,0,0
large,obqa,word,4,0.01,742,14-683,T,C,1,1
large,obqa,word,4,0.01,742,14-877,A,C,1,1
large,obqa,word,4,0.01,742,7-1025,T,C,1,1
large,obqa,word,4,0.01,742,7-319,T,C,1,1
large,obqa,word,4,0.01,742,870,R,C,1,1
large,obqa,word,4,0.03,742,10-160,R,C,0,1
large,obqa,word,4,0.03,742,10-293,R,C,1,1
large,obqa,word,4,0.03,742,10-441,R,C,1,1
large,obqa,word,4,0.03,742,10-500,A,C,1,1
large,obqa,word,4,0.03,742,10-681,R,C,1,1
large,obqa,word,4,0.03,742,10-757,R,C,1,1
large,obqa,word,4,0.03,742,10-959,A,C,1,1
large,obqa,word,4,0.03,742,1043,R,C,1,1
