file,n_matching_lines,kind,first_match
./P2_11_20260911T152130Z/P2_11_METHOD_DESIGN_REPORT.md,1,text mention (plan / notes / report),198:  - 内容：**生成前**取查询最后一个 token 的内部状态（深层最好），用 MLP 探针估计幻觉风险，15 个任务平均准确率 84.32%；模型为 Llama2-7B 与 Mistral-7B。
./P2_FINAL_MANUSCRIPT_WORK_REVIEW_BUNDLE_20260915T000145Z/citation_sources/P2_11/P2_11_METHOD_DESIGN_REPORT.md,1,text mention (plan / notes / report),198:  - 内容：**生成前**取查询最后一个 token 的内部状态（深层最好），用 MLP 探针估计幻觉风险，15 个任务平均准确率 84.32%；模型为 Llama2-7B 与 Mistral-7B。
./P2_R6_X3_20260921T052602Z/DEVIATIONS.md,1,text mention (plan / notes / report),5:  - Llama-3.1-8B-Instruct: HF 403 for user. Readable copies in other users' shared filesystem areas were found and their tokenizer was read once for the label check (before the decision). User decision (2026-09-21): those copies are **not used**. Llama counts only if user's own token can download it
./P2_R6_X3_20260921T052602Z/README.md,3,text mention (plan / notes / report),"15:else Mistral-7B-Instruct-v0.3 with the run-dir sentencepiece add-on). Driver, smoke job, shard builder and analysis are prepared (see DEVIATIONS.md)."
./P2_R6_X3_20260921T052602Z/logs/download_mistral7b_v03.log,1,download manifest / access log,3:VERIFY all_ok 12 files 19 s $DATA_DIR/hf_cache/hub/models--mistralai--Mistral-7B-Instruct-v0.3/snapshots/c170c708c41dac9275d15a8fff4eca08d52bab71
./P2_R6_X3_20260921T052602Z/logs/step0_receiver_check.log,7,tokenizer/template check (X3 Step 0; not a model output),2:TOKENIZER_SOURCE mistralai/Mistral-7B-Instruct-v0.3 $DATA_DIR/hf_cache/hub/models--mistralai--Mistral-7B-Instruct-v0.3/snapshots/c170c708c41dac9275d15a8fff4eca08d52bab71
./P2_R6_X3_20260921T052602Z/logs/step0_template_check.log,4,tokenizer/template check (X3 Step 0; not a model output),4:== mistralai/Mistral-7B-Instruct-v0.3
./P2_R6_X3_20260921T052602Z/manifests/DOWNLOAD_mistral7b_v03.json,2,download manifest / access log,"2: ""repo"": ""mistralai/Mistral-7B-Instruct-v0.3"","
./P2_R6_X3_20260921T052602Z/notes/STEP0_RECEIVER_CHECK.json,6,tokenizer/template check (X3 Step 0; not a model output),"404:  ""mistralai/Mistral-7B-Instruct-v0.3"": {"
./P2_R6_X3_20260921T052602Z/notes/STEP0_TEMPLATE_CHECK.json,4,tokenizer/template check (X3 Step 0; not a model output),"17: ""mistralai/Mistral-7B-Instruct-v0.3"": {"
./P2_REMAINING_CONTEXT_EXPORT_20260912T034026Z/bundle/materials/P2_11_20260911T152130Z/P2_11_METHOD_DESIGN_REPORT.md,1,text mention (plan / notes / report),198:  - 内容：**生成前**取查询最后一个 token 的内部状态（深层最好），用 MLP 探针估计幻觉风险，15 个任务平均准确率 84.32%；模型为 Llama2-7B 与 Mistral-7B。
./P2_SCORE_SENSITIVITY_20260912T055929Z/sources/P2_11_METHOD_DESIGN_REPORT.md,1,text mention (plan / notes / report),198:  - 内容：**生成前**取查询最后一个 token 的内部状态（深层最好），用 MLP 探针估计幻觉风险，15 个任务平均准确率 84.32%；模型为 Llama2-7B 与 Mistral-7B。
