setting,benchmark,original_deployed_q,label,cal_N,cal_raw_source,cal_rows_label_differs,cal_rows_label_differs_inside_X,cal_rows_label_differs_outside_X,cal_o_R_differs,cal_o_ref_differs,cal_d_label_differs,cal_d_label_differs_inside_X,cal_d_label_differs_outside_X,cal_in_X,cal_rows_official_not_applicable_excluded,cal_INVALID_R_official,cal_INVALID_ref_official,dev_N,dev_raw_source,dev_rows_label_differs,dev_rows_label_differs_inside_X,dev_rows_label_differs_outside_X,dev_o_R_differs,dev_o_ref_differs,dev_d_label_differs,dev_d_label_differs_inside_X,dev_d_label_differs_outside_X,dev_in_X,dev_rows_official_not_applicable_excluded,dev_INVALID_R_official,dev_INVALID_ref_official,q_V2,q_official,deployed_under,official_n_at_orig_q,official_k_at_orig_q,official_p_at_orig_q,official_accepts_orig_q,all_accepted_q_official,E5a_reproduced
small/OBQA/Text,obqa,0.0,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,121,121,0,61,78,66,66,0,208,0,0,0,742,V2 label source pointers into P2_5/P2_6/P2_9 train/development cases,57,0,57,25,38,32,0,32,0,0,0,0,0.0,0.0,neither,,,,n/a (fallback),none,True
small/OBQA/C2C,obqa,0.0,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,63,63,0,61,2,15,15,0,208,0,0,3,742,V2 label source pointers into P2_5/P2_6/P2_9 train/development cases,26,0,26,25,1,6,0,6,0,0,0,1,0.0,0.0,neither,,,,n/a (fallback),none,True
small/ARC/Text,arc,0.0,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,448,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,83,83,0,50,51,38,38,0,133,0,0,0,299,V2 label source pointers into P2_5/P2_6/P2_9 train/development cases,43,0,43,33,22,15,0,15,0,1,0,0,0.0,0.0,neither,,,,n/a (fallback),none,True
small/ARC/C2C,arc,0.0,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,448,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,53,53,0,50,3,5,5,0,133,0,0,2,299,V2 label source pointers into P2_5/P2_6/P2_9 train/development cases,35,0,35,33,6,6,0,6,0,1,0,2,0.0,0.0,neither,,,,n/a (fallback),none,True
medium/OBQA/Text,obqa,0.0,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,1366,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_cal.jsonl,16,3,13,15,1,5,0,5,208,0,3,1,742,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_dev.jsonl,11,0,11,11,0,6,0,6,0,0,3,1,0.0,0.0,neither,,,,n/a (fallback),none,True
medium/OBQA/C2C,obqa,0.55,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,1366,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_cal.jsonl,53,10,43,15,41,22,4,18,208,0,3,1,742,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_dev.jsonl,25,0,25,11,18,12,0,12,0,0,3,2,0.55,0.55,both,739,18,0.000331749,True,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,True
medium/ARC/Text,arc,0.0,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,448,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_cal.jsonl,6,2,4,6,0,5,2,3,133,0,3,0,299,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_dev.jsonl,2,0,2,3,1,1,0,1,0,1,0,0,0.0,0.0,neither,,,,n/a (fallback),none,True
medium/ARC/C2C,arc,0.6,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,448,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_cal.jsonl,19,9,10,6,17,9,5,4,133,0,3,3,299,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_dev.jsonl,16,0,16,3,15,5,0,5,0,1,0,2,0.6,0.6,both,290,3,0.000249165,True,0.6,True
large/OBQA/Text,obqa,0.8,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,2,2,0,2,0,1,1,0,208,0,0,0,742,V2 label source pointers into P2_5/P2_6/P2_9 train/development cases,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,both,1064,18,1.15505e-08,True,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8,True
large/OBQA/C2C,obqa,0.8,POST-HOC re-analysis (reviewer R4/E11); does not change any primary decision,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,24,24,0,2,22,21,21,0,208,0,0,22,742,V2 label source pointers into P2_5/P2_6/P2_9 train/development cases,11,0,11,0,11,11,0,11,0,0,0,11,0.8,0.7,both,1064,39,0.0231238,False,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7,True
