population,pair,dataset,split,n,action,old_valid,old_invalid,old_correct,old_accuracy,old_exclusive_correct,old_gain_over_R,old_harm_vs_R,D1_valid,D1_invalid,D1_correct,D1_accuracy,D1_exclusive_correct,D1_gain_over_R,D1_harm_vs_R,V2_valid,V2_invalid,V2_correct,V2_accuracy,V2_exclusive_correct,V2_gain_over_R,V2_harm_vs_R,old_to_V2_answer_changed,old_to_V2_correct_improved,old_to_V2_correct_harmed,old_to_V2_accuracy_delta_pp,D1_to_V2_answer_changed,D1_to_V2_correct_improved,D1_to_V2_correct_harmed,D1_to_V2_accuracy_delta_pp
full,large,obqa,train,3466,receiver_only,3462,4,2830,0.8165031736872476,0,0,0,3462,4,2830,0.8165031736872476,0,0,0,3462,4,2830,0.8165031736872476,0,0,0,0,0,0,0.0,0,0,0,0.0
full,large,obqa,train,3466,text,3465,1,2978,0.859203693017888,172,219,71,3465,1,2978,0.859203693017888,171,219,71,3465,1,2978,0.859203693017888,171,219,71,0,0,0,0.0,0,0,0,0.0
full,large,obqa,train,3466,c2c,3404,62,2716,0.7836122331217542,33,73,187,3459,7,2760,0.7963069821119446,33,74,144,3459,7,2760,0.7963069821119446,33,74,144,55,44,0,1.269474899019042,0,0,0,0.0
full,large,obqa,train,3466,acw,3445,21,2832,0.8170802077322562,2,12,10,3445,21,2832,0.8170802077322562,2,12,10,3445,21,2832,0.8170802077322562,2,12,10,0,0,0,0.0,0,0,0,0.0
panel,large,obqa,train,256,receiver_only,256,0,213,0.83203125,0,0,0,256,0,213,0.83203125,0,0,0,256,0,213,0.83203125,0,0,0,0,0,0,0.0,0,0,0,0.0
panel,large,obqa,train,256,text,256,0,218,0.8515625,11,13,8,256,0,218,0.8515625,11,13,8,256,0,218,0.8515625,11,13,8,0,0,0,0.0,0,0,0,0.0
panel,large,obqa,train,256,c2c,252,4,206,0.8046875,4,6,13,255,1,209,0.81640625,4,6,10,255,1,209,0.81640625,4,6,10,3,3,0,1.171875,0,0,0,0.0
panel,large,obqa,train,256,acw,255,1,212,0.828125,0,0,1,255,1,212,0.828125,0,0,1,255,1,212,0.828125,0,0,1,0,0,0,0.0,0,0,0,0.0
full,large,obqa,dev,742,receiver_only,742,0,617,0.8315363881401617,1,0,0,742,0,617,0.8315363881401617,1,0,0,742,0,617,0.8315363881401617,1,0,0,0,0,0,0.0,0,0,0,0.0
full,large,obqa,dev,742,text,742,0,645,0.8692722371967655,35,46,18,742,0,645,0.8692722371967655,35,46,18,742,0,645,0.8692722371967655,35,46,18,0,0,0,0.0,0,0,0,0.0
full,large,obqa,dev,742,c2c,731,11,587,0.7911051212938005,7,16,46,742,0,598,0.8059299191374663,7,16,35,742,0,598,0.8059299191374663,7,16,35,11,11,0,1.482479784366577,0,0,0,0.0
full,large,obqa,dev,742,acw,739,3,617,0.8315363881401617,0,3,3,739,3,617,0.8315363881401617,0,3,3,739,3,617,0.8315363881401617,0,3,3,0,0,0,0.0,0,0,0,0.0
panel,large,obqa,dev,128,receiver_only,128,0,104,0.8125,0,0,0,128,0,104,0.8125,0,0,0,128,0,104,0.8125,0,0,0,0,0,0,0.0,0,0,0,0.0
panel,large,obqa,dev,128,text,128,0,113,0.8828125,7,10,1,128,0,113,0.8828125,7,10,1,128,0,113,0.8828125,7,10,1,0,0,0,0.0,0,0,0,0.0
panel,large,obqa,dev,128,c2c,125,3,98,0.765625,0,3,9,128,0,101,0.7890625,0,3,6,128,0,101,0.7890625,0,3,6,3,3,0,2.34375,0,0,0,0.0
panel,large,obqa,dev,128,acw,128,0,105,0.8203125,0,1,0,128,0,105,0.8203125,0,1,0,128,0,105,0.8203125,0,1,0,0,0,0,0.0,0,0,0,0.0
full,large,arc,train,1119,receiver_only,1119,0,1021,0.9124218051831993,1,0,0,1119,0,1021,0.9124218051831993,1,0,0,1119,0,1021,0.9124218051831993,1,0,0,0,0,0,0.0,0,0,0,0.0
full,large,arc,train,1119,text,1119,0,1036,0.9258266309204647,19,28,13,1119,0,1036,0.9258266309204647,19,28,13,1119,0,1036,0.9258266309204647,19,28,13,0,0,0,0.0,0,0,0,0.0
full,large,arc,train,1119,c2c,1053,66,957,0.8552278820375335,6,15,79,1116,3,1013,0.9052725647899911,7,16,24,1116,3,1013,0.9052725647899911,7,16,24,66,56,0,5.004468275245755,0,0,0,0.0
full,large,arc,train,1119,acw,1117,2,1018,0.9097408400357462,0,1,4,1116,3,1018,0.9097408400357462,0,1,4,1116,3,1018,0.9097408400357462,0,1,4,1,0,0,0.0,0,0,0,0.0
panel,large,arc,train,256,receiver_only,256,0,237,0.92578125,1,0,0,256,0,237,0.92578125,1,0,0,256,0,237,0.92578125,1,0,0,0,0,0,0.0,0,0,0,0.0
panel,large,arc,train,256,text,256,0,240,0.9375,3,5,2,256,0,240,0.9375,3,5,2,256,0,240,0.9375,3,5,2,0,0,0,0.0,0,0,0,0.0
panel,large,arc,train,256,c2c,242,14,224,0.875,2,4,17,256,0,236,0.921875,2,4,5,256,0,236,0.921875,2,4,5,14,12,0,4.6875,0,0,0,0.0
panel,large,arc,train,256,acw,256,0,235,0.91796875,0,0,2,255,1,235,0.91796875,0,0,2,255,1,235,0.91796875,0,0,2,1,0,0,0.0,0,0,0,0.0
full,large,arc,validation,299,receiver_only,299,0,268,0.8963210702341137,0,0,0,299,0,268,0.8963210702341137,0,0,0,299,0,268,0.8963210702341137,0,0,0,0,0,0,0.0,0,0,0,0.0
