policy,id,side,raw_output,V2_label,official_label,options,check_i_leading_single_letter,letter_i,check_ii_text_is_option,option_text_of_letter,check_iii_no_second_letter_pattern,second_patterns,check_v_V2_equals_letter,iv_official_returned,iv_official_branch,iv_math_substrings,iv_answer_words,official_matches_stated_option_better,all_i_ii_iii_v,label
large/ARC/C2C,Mercury_402216,C2C,B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g),B,INVALID,"{""A"": ""H_{2}O -> H + O + H"", ""B"": ""2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)"", ""C"": ""H:O:H -> H_{2}O"", ""D"": ""H_{2}O(l) -> 2H(g) + O(g)""}",True,B,True,2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g),True,,True,INVALID,blocked_by_math_substring,+;-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_7174213,C2C,D. the distance between molecules in the medium,D,INVALID,"{""A"": ""the frequency of the wave"", ""B"": ""the wavelength of the wave"", ""C"": ""the source that created the sound"", ""D"": ""the distance between molecules in the medium""}",True,D,True,the distance between molecules in the medium,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_412681,C2C,C. Double the mass of m_{1} and halve the distance between m_{1} and m_{2}.,C,INVALID,"{""A"": ""Halve the mass of m_{1} and halve the distance between m_{1} and m_{2}."", ""B"": ""Halve the mass of m_{1} and double the distance between m_{1} and m_{2}."", ""C"": ""Double the mass of m_{1} and halve the distance between m_{1} and m_{2}."", ""D"": ""Double the mass of m_{1} and double the distance between m_{1} and m_{2}.""}",True,C,True,Double the mass of m_{1} and halve the distance between m_{1} and m_{2}.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_400440,C2C,D. NaCl + H_{2}O,D,INVALID,"{""A"": ""Na + Cl_{2}"", ""B"": ""NaCL + OH"", ""C"": ""NaOH + Cl"", ""D"": ""NaCl + H_{2}O""}",True,D,True,NaCl + H_{2}O,True,,True,INVALID,blocked_by_math_substring,+,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_LBS11018,C2C,B. W is the hardest of the four substances tested.,B,INVALID,"{""A"": ""W is the softest of the four substances tested."", ""B"": ""W is the hardest of the four substances tested."", ""C"": ""W can scratch Y."", ""D"": ""W can scratch X.""}",True,B,True,W is the hardest of the four substances tested.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_415093,C2C,D. 2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O,D,INVALID,"{""A"": ""C_{2}H_{6} + 3O_{2} -> 2CO_{2} + 3H_{2}O"", ""B"": ""C_{2}H_{6} + 5O_{2} -> 2CO_{2} + 3H_{2}O"", ""C"": ""2C_{2}H_{6} + 5O_{2} -> 4CO_{2} + 4H_{2}O"", ""D"": ""2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O""}",True,D,True,2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O,True,,True,INVALID,blocked_by_math_substring,+;-,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_SC_408568,C2C,B. the distance each ball is dropped,B,INVALID,"{""A"": ""the amount of air in each ball"", ""B"": ""the distance each ball is dropped"", ""C"": ""the time it takes to drop each ball"", ""D"": ""the number of times the ball bounces""}",True,B,True,the distance each ball is dropped,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,AKDE&ED_2008_8_7,C2C,B. Design an experiment that tests multiple types of popcorn using repeated trials.,B,INVALID,"{""A"": ""Research articles about different ways to heat popcorn to make it pop."", ""B"": ""Design an experiment that tests multiple types of popcorn using repeated trials."", ""C"": ""Heat kernels of some types on an electric stove and heat other types on a gas stove."", ""D"": ""Construct a mathematical equation that compares size and mass of kernels from each type.""}",True,B,True,Design an experiment that tests multiple types of popcorn using repeated trials.,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,MCAS_2005_5_34,C2C,B. using storage space efficiently.,B,INVALID,"{""A"": ""making the wall stronger."", ""B"": ""using storage space efficiently."", ""C"": ""using a machine for more than one purpose."", ""D"": ""solving the need for shelter in a creative way.""}",True,B,True,using storage space efficiently.,True,,True,INVALID,blocked_by_math_substring,sin,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
large/ARC/C2C,Mercury_SC_408384,C2C,B. Two different substances combine.,B,INVALID,"{""A"": ""A solid dissolves in a liquid."", ""B"": ""Two different substances combine."", ""C"": ""A material with new properties forms."", ""D"": ""The combined substances cannot be separated.""}",True,B,True,Two different substances combine.,True,,True,INVALID,blocked_by_math_substring,tan,,False,True,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
