task,id,panel_ordinal,route,q,threshold,fixed_C2C_ms,policy_ms,saving_ms,gold,fixed_C2C_answer,policy_answer,fixed_C2C_correct,policy_correct,accuracy_difference,fixed_C2C_invalid,policy_invalid,online_probe_ms,selector_ms,probe_selector_ms,first_formal_request_pair,fixed_record_key,policy_record_key
obqa,9-782,0,C,0.55,1.3113021850585938e-06,3269.2359229549766,813.7545411009341,2455.4813818540424,A,A,A,1,1,0,False,False,475.7676220033318,0.0008810311555862427,475.76850303448737,True,obqa|9-782|fixed_C,obqa|9-782|policy_C
obqa,14-290,1,R,0.55,1.3113021850585938e-06,431.483400054276,275.1710161101073,156.3123839441687,A,A,A,1,1,0,False,False,33.24796189554036,0.0004109460860490799,33.248372841626406,False,obqa|14-290|fixed_C,obqa|14-290|policy_C
obqa,13-823,2,C,0.55,1.3113021850585938e-06,382.23418197594583,371.9438149128109,10.290367063134909,D,D,D,1,1,0,False,False,33.51247310638428,0.0004409812390804291,33.51291408762336,False,obqa|13-823|fixed_C,obqa|13-823|policy_C
obqa,12-745,3,C,0.55,1.3113021850585938e-06,338.33337598480284,438.16528003662825,-99.8319040518254,D,A,A,0,0,0,False,False,33.993314020335674,0.00048102810978889465,33.99379504844546,False,obqa|12-745|fixed_C,obqa|12-745|policy_C
obqa,14-245,4,C,0.55,1.3113021850585938e-06,336.30915987305343,369.32950210757554,-33.020342234522104,D,D,D,1,1,0,False,False,33.08281977660954,0.00045122578740119934,33.08327100239694,False,obqa|14-245|fixed_C,obqa|14-245|policy_C
obqa,12-721,5,C,0.55,1.3113021850585938e-06,336.4111641421914,369.27839484997094,-32.86723070777953,A,A,A,1,1,0,False,False,33.0936701502651,0.00047101639211177826,33.09414116665721,False,obqa|12-721|fixed_C,obqa|12-721|policy_C
obqa,11-642,6,C,0.55,1.3113021850585938e-06,340.45776003040373,371.508790878579,-31.051030848175287,A,A,A,1,1,0,False,False,33.470184076577425,0.0004409812390804291,33.470625057816505,False,obqa|11-642|fixed_C,obqa|11-642|policy_C
obqa,12-577,7,C,0.55,1.3113021850585938e-06,432.82744591124356,467.34466403722763,-34.51721812598407,C,INVALID,INVALID,0,0,0,True,True,33.60174293629825,0.0004200264811515808,33.6021629627794,False,obqa|12-577|fixed_C,obqa|12-577|policy_C
obqa,14-1215,8,R,0.55,1.3113021850585938e-06,398.6473579425365,255.7511730119586,142.89618493057787,A,A,A,1,1,0,False,False,33.21698307991028,0.0004209578037261963,33.217404037714005,False,obqa|14-1215|fixed_C,obqa|14-1215|policy_C
obqa,12-488,9,R,0.55,1.3113021850585938e-06,340.33953701145947,258.2665791269392,82.07295788452029,C,C,C,1,1,0,False,False,33.756155986338854,0.0004100147634744644,33.75656600110233,False,obqa|12-488|fixed_C,obqa|12-488|policy_C
