reference,id,panel_ordinal,group_hash,category,K,route,q,threshold,fixed_ms,policy_ms,saving_ms,fixed_correct,policy_correct,accuracy_difference,fixed_answer,policy_answer,gold,fixed_invalid,policy_invalid,online_probe_ms,selector_ms,first_formal_request_in_pair,fixed_key,policy_key
Text,test:3074,0,ad23be1e8a17387e82872a437640dbfa3e8992404f6a8e8a3c5436aa1336c461,biology,10,T,0.4,3.838539123535156e-05,1658.1568620167673,1323.6966780386865,334.46018397808075,0,0,0,H,H,A,False,False,80.15819895081222,0.000491039827466011,True,mmlu_pro|test:3074|fixed_T,mmlu_pro|test:3074|policy_T
Text,test:3502,1,23b909928d8c9c8e2451fb75a7c5b8ab70c6c24e32359d901196e202552c8212,biology,10,R,0.4,3.838539123535156e-05,831.1199978925288,255.42496889829636,575.6950289942324,1,1,0,D,D,D,False,False,45.13472504913807,0.00033993273973464966,False,mmlu_pro|test:3502|fixed_T,mmlu_pro|test:3502|policy_T
Text,test:3459,2,96454f3d066395ec82f04043235e3b8c3ebfc77629d90bf0b9b40c0a99ab411f,biology,10,R,0.4,3.838539123535156e-05,1331.77473815158,267.3143991269171,1064.460339024663,1,1,0,D,D,D,False,False,51.003394881263375,0.00029010698199272156,False,mmlu_pro|test:3459|fixed_T,mmlu_pro|test:3459|policy_T
Text,test:2955,3,6c32b8fc57811ff1a13d49406dbc8d3d0fc95c3300417e21af4f9a01bf4c3651,biology,10,R,0.4,3.838539123535156e-05,1032.653589034453,250.86545199155807,781.788137042895,1,1,0,G,G,G,False,False,43.00698800943792,0.00029103830456733704,False,mmlu_pro|test:2955|fixed_T,mmlu_pro|test:2955|policy_T
Text,test:3232,4,3f32ee1b0c9f00bf7f5646d47af17cd024d7d66013d98c652443e9f389b2b78e,biology,10,R,0.4,3.838539123535156e-05,1096.6352459508926,257.58132012560964,839.0539258252829,1,1,0,G,G,G,False,False,46.37869819998741,0.0003098975867033005,False,mmlu_pro|test:3232|fixed_T,mmlu_pro|test:3232|policy_T
Text,test:3202,5,a90b82f34bf4b9b6e34906a71bdba60435df9e2754b3659d104e225abcbffa44,biology,10,R,0.4,3.838539123535156e-05,1341.3494920823723,233.29052608460188,1108.0589659977704,0,0,0,E,E,J,False,False,34.540310967713594,0.00030105002224445343,False,mmlu_pro|test:3202|fixed_T,mmlu_pro|test:3202|policy_T
Text,test:2979,6,87dfd1f1ce49b2832ca6a150cb13579fe104ba0881648c76bd2a2f42a00f394e,biology,10,R,0.4,3.838539123535156e-05,853.9567771367729,274.21017293818295,579.7466041985899,1,1,0,I,I,I,False,False,54.36072591692209,0.0004009343683719635,False,mmlu_pro|test:2979|fixed_T,mmlu_pro|test:2979|policy_T
Text,test:297,7,ee1a35b77a60d71db8dcc07ad3bf483b8b98d4f49638beaa918325da573eb6b8,business,10,T,0.4,3.838539123535156e-05,771.8346831388772,797.3950561136007,-25.560372974723577,0,0,0,G,G,E,False,False,34.07666296698153,0.0002798624336719513,False,mmlu_pro|test:297|fixed_T,mmlu_pro|test:297|policy_T
Text,test:481,8,50d63723c9bd3083d00774dc0efe0aa664d734e9ed68f26ab1e6680ab1d02ddd,business,10,T,0.4,3.838539123535156e-05,907.8415108378977,961.6419281810522,-53.80041734315455,1,1,0,F,F,F,False,False,40.85547709837556,0.00029010698199272156,False,mmlu_pro|test:481|fixed_T,mmlu_pro|test:481|policy_T
Text,test:673,9,5ac6b01757fb71cb1845e552af126ec711c22f958702dbb71e9abf921af29694,business,10,T,0.4,3.838539123535156e-05,774.0994268096983,800.6004840135574,-26.50105720385909,0,0,0,F,F,H,False,False,34.29472213611007,0.00035995617508888245,False,mmlu_pro|test:673|fixed_T,mmlu_pro|test:673|policy_T
Text,test:205,10,dc8c276d4ae04ce05f71fddd13f91e423939fc0ff9b54dd3e4d3a487274dd566,business,10,T,0.4,3.838539123535156e-05,976.1635621543974,1031.581771094352,-55.41820893995464,0,0,0,J,J,F,False,False,42.04384284093976,0.0003110617399215698,False,mmlu_pro|test:205|fixed_T,mmlu_pro|test:205|policy_T
Text,test:429,11,e890296dddc5df108a8b0469784e18bc3ee45291e05da0fc63b9e9be5cbcf903,business,9,T,0.4,3.838539123535156e-05,1206.1164029873908,1278.0365280341357,-71.92012504674494,0,0,0,H,H,A,False,False,43.410595040768385,0.00030081719160079956,False,mmlu_pro|test:429|fixed_T,mmlu_pro|test:429|policy_T
Text,test:413,12,e674aeeb1293ef53503580a963d7510ae92013569cea1a03c61910c6390ef704,business,10,T,0.4,3.838539123535156e-05,935.8797080349177,964.8444300983101,-28.9647220633924,1,1,0,B,B,B,False,False,33.53070002049208,0.00036996789276599884,False,mmlu_pro|test:413|fixed_T,mmlu_pro|test:413|policy_T
Text,test:289,13,6421bd1764b5af2917a0b9f397256dae657e8dfbc61145259f6e5c2f2a006f87,business,10,T,0.4,3.838539123535156e-05,819.832748034969,839.3437210470438,-19.510973012074828,0,0,0,C,C,J,False,False,44.48410589247942,0.000341096892952919,False,mmlu_pro|test:289|fixed_T,mmlu_pro|test:289|policy_T
Text,test:770,14,ec5708ddf7d8d0367b1cd79a077e12f79f323282edecc37aa8235f58d5f996f3,business,10,T,0.4,3.838539123535156e-05,1142.6067049615085,1172.2659580409527,-29.65925307944417,0,0,0,H,H,A,False,False,34.17483693920076,0.00028009526431560516,False,mmlu_pro|test:770|fixed_T,mmlu_pro|test:770|policy_T
Text,test:402,15,718d1a28b71380bd9dbdaea7e4f733ae946c47c9eca2ec4e702a9b8417ced309,business,10,T,0.4,3.838539123535156e-05,1700.6700329948217,1693.3386931195855,7.331339875236154,1,1,0,A,A,A,False,False,52.14340100064874,0.0003210734575986862,False,mmlu_pro|test:402|fixed_T,mmlu_pro|test:402|policy_T
Text,test:4181,16,35a6cf0c7538e0cf30178a01375f7f8edd8a3896f06bd664624e58e986d26eb1,chemistry,10,R,0.4,3.838539123535156e-05,1144.7125901468098,285.04683310166,859.6657570451498,1,1,0,D,D,D,False,False,43.931842083111405,0.00032084062695503235,False,mmlu_pro|test:4181|fixed_T,mmlu_pro|test:4181|policy_T
Text,test:3885,17,51439788d4cdf99aea7315f43dbe8a2a4990a4cbdde88bd950d19692d764fd44,chemistry,10,T,0.4,3.838539123535156e-05,1136.7065471131355,1201.2284360826015,-64.52188896946609,1,1,0,G,G,G,False,False,63.940680120140314,0.00031082890927791595,False,mmlu_pro|test:3885|fixed_T,mmlu_pro|test:3885|policy_T
Text,test:3996,18,b06945813b8155c3aa6c5295ea69a6b1eec06c4f96d0dd38a1a87117779ed192,chemistry,10,T,0.4,3.838539123535156e-05,1374.4069740641862,1448.7976799719036,-74.39070590771735,0,0,0,F,F,H,False,False,55.04956794902682,0.0003608874976634979,False,mmlu_pro|test:3996|fixed_T,mmlu_pro|test:3996|policy_T
