check,expected,observed,status,source
"(i) sealed large/ARC/Text policy, parser V2 as executed: omitted/changed","[1100, 20]","[1100, 20]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl
(i) sealed large/ARC/Text policy: same as summary/primary_sealed.csv,"[1100, 20]","[1100, 20]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/summary/primary_sealed.csv
"(i) sealed large/ARC/C2C policy, parser V2 as executed: omitted/changed","[1047, 11]","[1047, 11]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl
(i) sealed large/ARC/C2C policy: same as summary/primary_sealed.csv,"[1047, 11]","[1047, 11]",PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/summary/primary_sealed.csv
(i) sealed: stored runtime parse == re-parse with frozen V2 (4688 outputs),0,0,PASS,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl; $DATA_DIR/P2_SCORING_V2_20260912T191445Z/scoring_v2.py
(i) V2 parser sha256 = sealed frozen_config parser_sha256,"""d05978f400cf69aa6bddc56168a260ac3ea9158abaa640e9331602dc9bfcc2f9""","""d05978f400cf69aa6bddc56168a260ac3ea9158abaa640e9331602dc9bfcc2f9""",PASS,$DATA_DIR/P2_SCORING_V2_20260912T191445Z/scoring_v2.py
"(ii) dev large/OBQA/Text: omitted/changed, frozen record vs recomputed","[572, 19]","[572, 19]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/main_dev.csv
(ii) large/OBQA/Text: threshold in deployment json,0.001170039176940918,0.001170039176940918,PASS,deployments json
"(ii) cal large/OBQA/Text: omitted/changed, stored calibration ledger vs recomputed","[1064, 18]","[1064, 18]",PASS,"stored calibration ledgers (common_r1.ledgers(), E6_LEDGER.csv)"
"(ii) dev large/OBQA/C2C: omitted/changed, frozen record vs recomputed","[572, 13]","[572, 13]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/main_dev.csv
(ii) large/OBQA/C2C: threshold in deployment json,0.001170039176940918,0.001170039176940918,PASS,deployments json
"(ii) cal large/OBQA/C2C: omitted/changed, stored calibration ledger vs recomputed","[1064, 22]","[1064, 22]",PASS,"stored calibration ledgers (common_r1.ledgers(), E6_LEDGER.csv)"
"(ii) dev large/ARC/Text: omitted/changed, frozen record vs recomputed","[284, 9]","[284, 9]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/main_dev.csv
(ii) large/ARC/Text: threshold in deployment json,0.01800704002380371,0.01800704002380371,PASS,deployments json
"(ii) cal large/ARC/Text: omitted/changed, stored calibration ledger vs recomputed","[422, 4]","[422, 4]",PASS,"stored calibration ledgers (common_r1.ledgers(), E6_LEDGER.csv)"
"(ii) dev large/ARC/C2C: omitted/changed, frozen record vs recomputed","[270, 3]","[270, 3]",PASS,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/main_dev.csv
(ii) large/ARC/C2C: threshold in deployment json,0.0007095932960510254,0.0007095932960510254,PASS,deployments json
"(ii) cal large/ARC/C2C: omitted/changed, stored calibration ledger vs recomputed","[404, 7]","[404, 7]",PASS,"stored calibration ledgers (common_r1.ledgers(), E6_LEDGER.csv)"
"(ii) dev medium/OBQA/C2C q=.55: omitted/changed, frozen record vs recomputed","[390, 11]","[390, 11]",PASS,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/summary/compact_summary.csv
