population,pair,dataset,split,n,old_best_fixed,old_best_fixed_correct,old_union3,old_union4,old_gap,old_gap_pp,old_AC_exclusive,old_receiver_only_correct,old_text_correct,old_c2c_correct,old_acw_correct,D1_best_fixed,D1_best_fixed_correct,D1_union3,D1_union4,D1_gap,D1_gap_pp,D1_AC_exclusive,D1_receiver_only_correct,D1_text_correct,D1_c2c_correct,D1_acw_correct,V2_best_fixed,V2_best_fixed_correct,V2_union3,V2_union4,V2_gap,V2_gap_pp,V2_AC_exclusive,V2_receiver_only_correct,V2_text_correct,V2_c2c_correct,V2_acw_correct
full,large,obqa,train,3466,text,2978,3082,3084,106,3.058280438545874,2,2830,2978,2716,2832,text,2978,3082,3084,106,3.058280438545874,2,2830,2978,2760,2832,text,2978,3082,3084,106,3.058280438545874,2,2830,2978,2760,2832
panel,large,obqa,train,256,text,218,230,230,12,4.6875,0,213,218,206,212,text,218,230,230,12,4.6875,0,213,218,209,212,text,218,230,230,12,4.6875,0,213,218,209,212
full,large,obqa,dev,742,text,645,670,670,25,3.3692722371967654,0,617,645,587,617,text,645,670,670,25,3.3692722371967654,0,617,645,598,617,text,645,670,670,25,3.3692722371967654,0,617,645,598,617
panel,large,obqa,dev,128,text,113,114,114,1,0.78125,0,104,113,98,105,text,113,114,114,1,0.78125,0,104,113,101,105,text,113,114,114,1,0.78125,0,104,113,101,105
full,large,arc,train,1119,text,1036,1055,1055,19,1.6979445933869526,0,1021,1036,957,1018,text,1036,1056,1056,20,1.7873100983020553,0,1021,1036,1013,1018,text,1036,1056,1056,20,1.7873100983020553,0,1021,1036,1013,1018
panel,large,arc,train,256,text,240,244,244,4,1.5625,0,237,240,224,235,text,240,244,244,4,1.5625,0,237,240,236,235,text,240,244,244,4,1.5625,0,237,240,236,235
full,large,arc,validation,299,text,274,280,281,7,2.3411371237458196,1,268,274,255,269,text,274,280,281,7,2.3411371237458196,1,268,274,266,269,text,274,280,281,7,2.3411371237458196,1,268,274,266,269
panel,large,arc,validation,128,text,117,120,120,3,2.34375,0,115,117,109,115,text,117,120,120,3,2.34375,0,115,117,114,115,text,117,120,120,3,2.34375,0,115,117,114,115
full,small,obqa,train,3466,c2c,1802,2395,2398,596,17.195614541257935,3,1365,1612,1802,1345,c2c,1803,2395,2398,595,17.1667628390075,3,1365,1612,1803,1345,c2c,1804,2395,2398,594,17.13791113675707,3,1365,1612,1804,1345
panel,small,obqa,train,256,text,133,184,184,51,19.921875,0,102,133,131,102,text,133,184,184,51,19.921875,0,102,133,131,102,text,133,184,184,51,19.921875,0,102,133,131,102
full,small,obqa,dev,742,c2c,365,498,501,136,18.328840970350406,3,285,346,365,284,c2c,366,498,501,135,18.194070080862534,3,285,346,366,284,c2c,366,498,501,135,18.194070080862534,3,285,346,366,284
panel,small,obqa,dev,128,text|c2c,66,90,90,24,18.75,0,56,66,66,54,text|c2c,66,90,90,24,18.75,0,56,66,66,54,text|c2c,66,90,90,24,18.75,0,56,66,66,54
full,small,arc,train,1119,c2c,667,850,851,184,16.44325290437891,1,424,530,667,412,c2c,669,850,851,182,16.264521894548704,1,424,530,669,412,c2c,671,850,851,180,16.0857908847185,1,424,530,671,412
panel,small,arc,train,256,c2c,155,192,192,37,14.453125,0,96,121,155,88,c2c,156,192,192,36,14.0625,0,96,121,156,88,c2c,157,192,192,35,13.671875,0,96,121,157,88
full,small,arc,validation,299,c2c,155,204,206,51,17.05685618729097,2,110,126,155,110,c2c,155,204,206,51,17.05685618729097,2,110,126,155,110,c2c,155,204,206,51,17.05685618729097,2,110,126,155,110
panel,small,arc,validation,128,c2c,62,80,82,20,15.625,2,48,51,62,49,c2c,62,80,82,20,15.625,2,48,51,62,49,c2c,62,80,82,20,15.625,2,48,51,62,49
