setting,benchmark,N_cal,raw_source,official_applicable,label,OFFICIAL_o_R_diff,OFFICIAL_o_ref_diff,OFFICIAL_d_diff_total,OFFICIAL_d_diff_in_X,OFFICIAL_d_diff_in_clean,OFFICIAL_n_at_orig_q,OFFICIAL_k_at_orig_q,OFFICIAL_p_at_orig_q,OFFICIAL_orig_q_accepted,OFFICIAL_largest_accepted_q,D1_o_R_diff,D1_o_ref_diff,D1_d_diff_total,D1_d_diff_in_X,D1_d_diff_in_clean,D1_n_at_orig_q,D1_k_at_orig_q,D1_p_at_orig_q,D1_orig_q_accepted,D1_largest_accepted_q
small/OBQA/Text,obqa,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,78,66,66,0,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
small/OBQA/C2C,obqa,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,61,2,15,15,0,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
small/ARC/Text,arc,448,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,51,38,38,0,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
small/ARC/C2C,arc,448,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,50,3,5,5,0,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
medium/OBQA/Text,obqa,1366,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_cal.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,15,1,5,0,5,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
medium/OBQA/C2C,obqa,1366,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/obqa_cal.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,15,41,22,4,18,739,18,0.000331749,True,0.55,0,0,0,0,0,739,19,0.000694187,True,0.55
medium/ARC/Text,arc,448,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_cal.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,6,0,5,2,3,,,,n/a (fallback),0.0,0,0,0,0,0,,,,n/a (fallback),0.0
medium/ARC/C2C,arc,448,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/actions/arc_cal.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,6,17,9,5,4,290,3,0.000249165,True,0.6,0,0,0,0,0,290,1,5.63703e-06,True,0.6
large/OBQA/Text,obqa,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,2,0,1,1,0,1064,18,1.15505e-08,True,0.8,0,0,0,0,0,1064,18,1.15505e-08,True,0.8
large/OBQA/C2C,obqa,1366,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,2,22,21,21,0,1064,39,0.0231238,False,0.7,0,0,0,0,0,1064,22,6.7085e-07,True,0.8
large/ARC/Text,arc,448,V2 label source pointers into P2_5/P2_6/P2_9 train_cases.jsonl,True,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision,0,0,0,0,0,422,4,4.8015e-06,True,0.95,0,0,0,0,0,422,4,4.8015e-06,True,0.95
