setting,output,output_pattern,rows,N_cal,label
small/OBQA/Text,R,declaration_single_letter,1242,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,R,declaration_several_letters,124,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,reference,declaration_single_letter,1192,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/Text,reference,declaration_several_letters,174,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,R,declaration_single_letter,1242,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,R,declaration_several_letters,124,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,reference,declaration_single_letter,1266,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,reference,leading_label_then_option_text,52,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,reference,declaration_several_letters,47,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/OBQA/C2C,reference,answer_text_without_letter,1,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,R,declaration_single_letter,355,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,R,declaration_several_letters,93,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,reference,declaration_single_letter,355,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/Text,reference,declaration_several_letters,93,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,R,declaration_single_letter,355,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,R,declaration_several_letters,93,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,reference,declaration_single_letter,379,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,reference,declaration_several_letters,41,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
small/ARC/C2C,reference,leading_label_then_option_text,28,448,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,R,declaration_single_letter,1111,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,R,leading_label_then_option_text,157,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,R,bare_letter,73,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
medium/OBQA/Text,R,declaration_several_letters,24,1366,POST-HOC re-analysis (reviewer R2/E5); does not change any primary decision
